target_id	gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
lcl|NC_010612.1_cds_WP_012393331.1_1481	MMAR_RS07355	MMAR_RS07355	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	nuclear transport factor 2 family protein
lcl|NC_010612.1_cds_WP_012393332.1_1482	MMAR_RS07360	MMAR_RS07360	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	DUF6285 domain-containing protein
lcl|NC_010612.1_cds_WP_012393333.1_1483	MMAR_RS07365	MMAR_RS07365	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	phosphotransferase family protein
lcl|NC_010612.1_cds_WP_012393334.1_1484	MMAR_RS07370	MMAR_RS07370	1.00	0.00	2.00	1.00	1.00	3.00	1.00	1.00	0.00	acyl-CoA dehydrogenase family protein
lcl|NC_010612.1_cds_WP_012393335.1_1485	MMAR_RS07375	MMAR_RS07375	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	1.00	TetR/AcrR family transcriptional regulator
lcl|NC_010612.1_cds_WP_012393336.1_1486	MMAR_RS07380	MMAR_RS07380	1.00	1.00	1.00	1.00	4.00	0.00	0.00	0.00	0.00	hydroxymethylglutaryl-CoA lyase
lcl|NC_010612.1_cds_WP_012393337.1_1487	MMAR_RS07385	MMAR_RS07385	0.00	2.00	5.00	2.00	14.00	0.00	1.00	1.00	0.00	CaiB/BaiF CoA transferase family protein
lcl|NC_010612.1_cds_WP_012393338.1_1488	MMAR_RS07390	MMAR_RS07390	1.00	1.00	0.00	4.00	21.00	1.00	0.00	0.00	0.00	alpha/beta hydrolase
lcl|NC_010612.1_cds_WP_012393339.1_1489	MMAR_RS07395	MMAR_RS07395	3.00	0.00	0.00	11.00	29.00	1.00	0.00	0.00	1.00	homogentisate 1,2-dioxygenase
lcl|NC_010612.1_cds_WP_012393340.1_1490	MMAR_RS07400	MMAR_RS07400	3.00	3.00	0.00	4.00	2.00	1.00	1.00	1.00	0.00	PPE family protein
lcl|NC_010612.1_cds_WP_012393341.1_1491	MMAR_RS07405	MMAR_RS07405	0.00	0.00	0.00	1.00	1.00	0.00	3.00	3.00	0.00	NADPH:quinone oxidoreductase family protein
lcl|NC_010612.1_cds_WP_012393342.1_1492	MMAR_RS07410	MMAR_RS07410	0.00	1.00	0.00	0.00	1.00	0.00	2.00	2.00	0.00	oxidoreductase
lcl|NC_010612.1_cds_WP_012393343.1_1493	MMAR_RS07415	MMAR_RS07415	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	amidohydrolase family protein
lcl|NC_010612.1_cds_WP_012393344.1_1494	MMAR_RS07420	MMAR_RS07420	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	VOC family protein
lcl|NC_010612.1_cds_WP_012393345.1_1495	MMAR_RS07425	MMAR_RS07425	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	alpha/beta fold hydrolase
lcl|NC_010612.1_cds_WP_012393346.1_1496	MMAR_RS07430	MMAR_RS07430	0.00	0.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
lcl|NC_010612.1_cds_WP_012393347.1_1497	MMAR_RS07435	MMAR_RS07435	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	1.00	TetR/AcrR family transcriptional regulator
lcl|NC_010612.1_cds_WP_012393348.1_1498	MMAR_RS07440	MMAR_RS07440	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	acetaldehyde dehydrogenase (acetylating)
lcl|NC_010612.1_cds_WP_012393349.1_1499	MMAR_RS07445	dmpG	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4-hydroxy-2-oxovalerate aldolase
lcl|NC_010612.1_cds_WP_012393350.1_1500	MMAR_RS07450	budA	13.00	4.00	1.00	8.00	13.00	10.00	1.00	1.00	0.00	acetolactate decarboxylase
lcl|NC_010612.1_cds_WP_012393351.1_1501	MMAR_RS07455	alsS	2.00	4.00	1.00	4.00	30.00	3.00	3.00	3.00	0.00	acetolactate synthase AlsS
lcl|NC_010612.1_cds_WP_012393352.1_1502	MMAR_RS07460	MMAR_RS07460	7.00	7.00	12.00	26.00	185.00	9.00	18.00	18.00	7.00	acyl-CoA dehydrogenase family protein
lcl|NC_010612.1_cds_WP_012393353.1_1503	MMAR_RS07465	MMAR_RS07465	15.00	19.00	5.00	72.00	266.00	20.00	14.00	14.00	6.00	acyl-CoA dehydrogenase family protein
lcl|NC_010612.1_cds_WP_012393354.1_1504	MMAR_RS07470	hisN	0.00	1.00	1.00	3.00	4.00	0.00	2.00	2.00	0.00	histidinol-phosphatase
lcl|NC_010612.1_cds_WP_011740396.1_1505	MMAR_RS07475	MMAR_RS07475	2.00	1.00	3.00	5.00	5.00	2.00	0.00	0.00	0.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393355.1_1506	MMAR_RS07480	MMAR_RS07480	1.00	1.00	0.00	0.00	1.00	1.00	1.00	1.00	0.00	PPE family protein
lcl|NC_010612.1_cds_WP_012393356.1_1507	MMAR_RS07485	MMAR_RS07485	2.00	3.00	2.67	0.00	3.00	0.00	2.00	2.00	3.00	PPE family protein
lcl|NC_010612.1_cds_WP_012393357.1_1508	MMAR_RS07490	MMAR_RS07490	38.00	31.00	71.00	18.00	25.00	53.00	42.00	42.00	15.00	universal stress protein
lcl|NC_010612.1_cds_WP_011740390.1_1509	MMAR_RS07495	dosR	12.00	16.00	26.00	12.00	8.00	20.00	9.00	9.00	8.00	hypoxia response regulator transcription factor DosR/DevR
lcl|NC_010612.1_cds_WP_012393358.1_1510	MMAR_RS07500	MMAR_RS07500	14.00	26.00	37.00	17.00	9.00	29.00	28.00	28.00	11.00	GAF domain-containing sensor histidine kinase
lcl|NC_010612.1_cds_WP_012393359.1_1511	MMAR_RS07505	MMAR_RS07505	1.00	7.00	10.00	8.00	3.00	4.00	8.00	8.00	5.00	Acg family FMN-binding oxidoreductase
lcl|NC_010612.1_cds_WP_012393360.1_1512	MMAR_RS07510	MMAR_RS07510	6.00	15.00	22.00	6.00	7.00	4.00	9.00	9.00	14.00	WS/DGAT/MGAT family O-acyltransferase
lcl|NC_010612.1_cds_WP_012393361.1_1513	MMAR_RS07515	MMAR_RS07515	3.00	3.00	7.00	1.00	3.00	3.00	5.00	5.00	3.00	group III truncated hemoglobin
lcl|NC_010612.1_cds_WP_011740385.1_1514	MMAR_RS07520	MMAR_RS07520	10.00	11.00	38.00	18.00	14.00	33.00	7.00	7.00	12.00	pyridoxamine 5'-phosphate oxidase family protein
lcl|NC_010612.1_cds_WP_012393362.1_1515	MMAR_RS07525	MMAR_RS07525	9.00	10.00	24.00	5.00	10.00	19.00	26.00	26.00	9.00	Acg family FMN-binding oxidoreductase
lcl|NC_010612.1_cds_WP_012393363.1_1516	MMAR_RS07530	MMAR_RS07530	1.00	2.00	2.00	1.00	0.00	1.00	0.00	0.00	1.00	HNH endonuclease signature motif containing protein
lcl|NC_010612.1_cds_WP_012393364.1_1517	MMAR_RS29685	MMAR_RS29685	0.00	0.00	0.00	0.00	0.00	0.00	2.00	2.00	2.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393365.1_1518	MMAR_RS07540	MMAR_RS07540	3.00	7.00	3.00	1.00	5.00	1.00	3.00	3.00	4.00	FAD-binding oxidoreductase
lcl|NC_010612.1_cds_WP_012393366.1_1519	MMAR_RS07545	MMAR_RS07545	3.00	4.00	3.00	1.00	3.00	3.00	1.00	1.00	3.00	FAD-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_012393367.1_1520	MMAR_RS07550	prfB	7.00	9.00	6.00	8.00	7.00	4.00	6.00	6.00	6.00	peptide chain release factor 2
lcl|NC_010612.1_cds_WP_012393368.1_1521	MMAR_RS07555	MMAR_RS07555	7.00	8.00	3.00	3.00	5.00	2.00	3.00	3.00	3.00	mechanosensitive ion channel family protein
lcl|NC_010612.1_cds_WP_012393369.1_1522	MMAR_RS30175	MMAR_RS30175	1.00	0.00	3.00	4.00	4.00	1.00	1.00	1.00	0.00	Rv3103c family proline-rich protein
lcl|NC_010612.1_cds_WP_011740377.1_1523	MMAR_RS07560	ftsE	12.00	4.00	10.00	10.00	5.00	4.00	9.00	9.00	3.00	cell division ATP-binding protein FtsE
lcl|NC_010612.1_cds_WP_012393370.1_1524	MMAR_RS07565	ftsX	13.00	4.00	9.00	16.00	11.00	7.00	5.00	5.00	3.00	permease-like cell division protein FtsX
lcl|NC_010612.1_cds_WP_012393371.1_1525	MMAR_RS07570	smpB	7.00	2.00	2.00	4.00	4.00	1.00	5.00	5.00	2.00	SsrA-binding protein SmpB
lcl|NC_010612.1_cds_WP_012393372.1_1526	MMAR_RS07575	MMAR_RS07575	2.00	1.00	1.00	2.00	4.00	1.00	5.00	5.00	1.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393373.1_1527	MMAR_RS07580	MMAR_RS07580	6.00	5.00	3.00	6.00	6.00	2.00	4.00	4.00	1.00	putative alpha/beta hydrolase
lcl|NC_010612.1_cds_WP_181013026.1_1528	MMAR_RS07585	MMAR_RS07585	4.00	2.00	2.00	3.00	0.00	3.00	4.00	4.00	3.00	ATP-binding protein
lcl|NC_010612.1_cds_WP_012393375.1_1529	MMAR_RS07590	MMAR_RS07590	2.00	0.00	2.00	0.00	1.00	0.00	2.00	2.00	0.00	tetratricopeptide repeat protein
lcl|NC_010612.1_cds_WP_012393376.1_1530	MMAR_RS07595	MMAR_RS07595	1.00	1.00	4.00	2.00	4.00	0.00	3.00	3.00	2.00	maleylpyruvate isomerase family mycothiol-dependent enzyme
lcl|NC_010612.1_cds_WP_041325192.1_1531	MMAR_RS07600	MMAR_RS07600	8.00	4.00	5.00	5.00	4.00	8.00	2.00	2.00	5.00	PecA family PE domain-processing aspartic protease
lcl|NC_010612.1_cds_WP_015354987.1_1532	MMAR_RS29695	MMAR_RS29695	0.00	0.00	2.00	1.00	2.00	1.00	1.00	1.00	1.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393378.1_1533	MMAR_RS28175	MMAR_RS28175	1.00	3.00	0.00	0.00	1.00	0.00	2.00	2.00	0.00	hypothetical protein
lcl|NC_010612.1_cds_WP_011740366.1_1534	MMAR_RS07605	MMAR_RS07605	3.00	2.00	2.00	4.00	2.00	0.00	3.00	3.00	4.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393379.1_1535	MMAR_RS07610	MMAR_RS07610	0.00	2.00	1.00	4.00	0.00	1.00	1.00	1.00	2.00	MspA family porin
lcl|NC_010612.1_cds_WP_012393380.1_1536	MMAR_RS07615	MMAR_RS07615	1.00	0.00	0.00	0.00	1.00	3.00	2.00	2.00	1.00	VOC family protein
lcl|NC_010612.1_cds_WP_012393381.1_1537	MMAR_RS07620	MMAR_RS07620	3.00	1.00	2.00	4.00	1.00	2.00	1.00	1.00	1.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393382.1_1538	MMAR_RS07625	MMAR_RS07625	1.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00	0.00	PadR family transcriptional regulator
lcl|NC_010612.1_cds_WP_012393383.1_1539	MMAR_RS07630	MMAR_RS07630	0.00	1.00	0.00	3.00	0.00	1.00	2.00	2.00	0.00	maleylpyruvate isomerase N-terminal domain-containing protein
lcl|NC_010612.1_cds_WP_232022617.1_1540	MMAR_RS28180	MMAR_RS28180	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	hypothetical protein
lcl|NC_010612.1_cds_WP_041324485.1_1541	MMAR_RS07640	lipY	4.00	2.00	1.00	3.00	4.00	3.00	1.00	1.00	3.00	triacylglycerol lipase LipY
lcl|NC_010612.1_cds_WP_011741248.1_1542	MMAR_RS07645	glsA	0.00	2.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	glutaminase A
lcl|NC_010612.1_cds_WP_012393385.1_1543	MMAR_RS07650	MMAR_RS07650	1.00	0.00	2.00	2.00	4.00	2.00	0.00	0.00	0.00	pyridoxamine 5'-phosphate oxidase family protein
lcl|NC_010612.1_cds_WP_012393386.1_1544	MMAR_RS07655	MMAR_RS07655	2.00	4.00	2.00	3.00	9.00	3.00	2.00	2.00	7.00	PPE family protein
lcl|NC_010612.1_cds_WP_012393387.1_1545	MMAR_RS07660	MMAR_RS07660	2.00	1.00	2.00	5.00	5.00	5.00	0.00	0.00	1.00	phytanoyl-CoA dioxygenase family protein
lcl|NC_010612.1_cds_WP_012393388.1_1546	MMAR_RS07665	MMAR_RS07665	0.00	2.00	0.00	1.00	1.00	1.00	1.00	1.00	0.00	hypothetical protein
lcl|NC_010612.1_cds_WP_012393389.1_1547	MMAR_RS07670	MMAR_RS07670	6.00	9.00	2.00	3.00	21.00	5.00	2.00	2.00	7.00	LppP/LprE family lipoprotein
lcl|NC_010612.1_cds_WP_012393390.1_1548	MMAR_RS07675	MMAR_RS07675	21.00	17.00	27.00	18.00	12.00	28.00	6.00	6.00	7.00	cellulase family glycosylhydrolase
lcl|NC_010612.1_cds_WP_012393391.1_1549	MMAR_RS07680	MMAR_RS07680	4.00	1.00	2.00	7.00	6.00	3.00	3.00	3.00	1.00	winged helix-turn-helix transcriptional regulator
lcl|NC_010612.1_cds_WP_012393392.1_1550	MMAR_RS07685	MMAR_RS07685	3.00	1.00	1.00	7.00	16.00	0.00	0.00	0.00	1.00	acyl-CoA dehydrogenase family protein
lcl|NC_010612.1_cds_WP_012393393.1_1551	MMAR_RS07690	MMAR_RS07690	0.00	0.00	1.00	0.00	2.00	0.00	0.00	0.00	0.00	LLM class F420-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_012393394.1_1552	MMAR_RS07695	MMAR_RS07695	2.00	3.00	1.00	3.00	3.00	1.00	0.00	0.00	0.00	NADP-dependent oxidoreductase
lcl|NC_010612.1_cds_WP_041324489.1_1553	MMAR_RS07700	MMAR_RS07700	2.00	1.00	0.00	2.00	3.00	2.00	0.00	0.00	0.00	glutamate-cysteine ligase family protein
lcl|NC_010612.1_cds_WP_012393396.1_1554	MMAR_RS07705	MMAR_RS07705	1.00	0.00	0.00	1.00	1.00	2.00	0.00	0.00	0.00	nucleoside triphosphate pyrophosphohydrolase
lcl|NC_010612.1_cds_WP_012393397.1_1555	MMAR_RS07710	miaA	0.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00	0.00	tRNA (adenosine(37)-N6)-dimethylallyltransferase MiaA
lcl|NC_010612.1_cds_WP_237708438.1_1556	MMAR_RS07715	MMAR_RS07715	0.00	1.00	0.00	0.00	1.00	0.00	2.00	2.00	0.00	LOG family protein
lcl|NC_010612.1_cds_WP_012393399.1_1557	MMAR_RS07720	MMAR_RS07720	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	nuclear transport factor 2 family protein
lcl|NC_010612.1_cds_WP_012393400.1_1558	MMAR_RS07725	MMAR_RS07725	1.00	0.00	1.00	3.00	4.00	9.00	1.00	1.00	2.00	cytochrome P450
lcl|NC_010612.1_cds_WP_237708406.1_1559	MMAR_RS07730	MMAR_RS07730	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	methyltransferase domain-containing protein
lcl|NC_010612.1_cds_WP_041324497.1_1560	MMAR_RS07735	miaB	2.00	2.00	0.00	1.00	1.00	0.00	1.00	1.00	1.00	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB
lcl|NC_010612.1_cds_WP_012393403.1_1561	MMAR_RS07740	MMAR_RS07740	0.00	1.00	4.00	1.00	0.00	0.00	0.00	0.00	2.00	DUF808 domain-containing protein
