reaction_id	subsystem	compartment	reaction_name	equation	ec_number	gene_id	gene_symbol	protein	clinostat_log2fc	clinostat_padj	rpm_log2fc	rpm_padj	mean_microgravity_log2fc	direction
R_FAS	Mycolic Acid & FAS-II Envelope	Cytoplasm	Fatty acid synthase I (FAS-I de novo synthesis)	Acetyl-CoA + 7 Malonyl-CoA + 14 NADPH -> Palmitate + 7 CO2 + 8 CoA	2.3.1.85	MMAR_RS13525	fas	Fatty acid synthase I	0.599	8.873e-02	0.095	9.558e-01	0.347	Invariant
R_ACCD	Mycolic Acid & FAS-II Envelope	Cytoplasm	Acyl-CoA carboxylase subunit beta (Malonyl-CoA synthesis)	Acetyl-CoA + HCO3- + ATP -> Malonyl-CoA + ADP + Pi	6.4.1.2	MMAR_RS22330	accD	Acyl-CoA carboxylase subunit beta	0.668	9.501e-01	-3.047	1.798e-01	-1.189	Downregulated
R_KASA	Mycolic Acid & FAS-II Envelope	Cytoplasm	Beta-ketoacyl-ACP synthase KasA (FAS-II initiation)	Acyl-CoA + Malonyl-AcpM -> Beta-ketoacyl-AcpM + CO2 + CoA	2.3.1.41	MMAR_RS10900	kasA	Beta-ketoacyl-ACP synthase KasA	0.274	1.000e+00	2.952	5.397e-01	1.613	Upregulated
R_INHA	Mycolic Acid & FAS-II Envelope	Cytoplasm	Enoyl-ACP reductase InhA (FAS-II elongation)	trans-2-Enoyl-AcpM + NADH + H+ -> Acyl-AcpM + NAD+	1.3.1.9	MMAR_RS14560	inhA	NADH-dependent enoyl-ACP reductase InhA	-0.149	1.000e+00	-0.471	9.689e-01	-0.31	Invariant
R_MMPL3	Mycolic Acid & FAS-II Envelope	Plasma Membrane	Trehalose monomycolate translocase MmpL3	TMM[c] -> TMM[periplasm] (Proton motive force coupled)	2.A.1	MMAR_RS01245	mmpL3	Mycolic acid flippase / translocase MmpL3	0.202	1.000e+00	1.284	8.026e-01	0.743	Upregulated
R_FBPA	Mycolic Acid & FAS-II Envelope	Periplasm / Cell Wall	Antigen 85A mycolyltransferase (Cord factor TDM synthesis)	2 Trehalose monomycolate -> Trehalose dimycolate + Trehalose	2.3.1.122	MMAR_RS00720	fbpA	Diacylglycerol acyltransferase / mycolyltransferase Antigen 85A	-0.346	8.647e-01	0.032	9.968e-01	-0.157	Invariant
R_FADD7	Mycolic Acid & FAS-II Envelope	Cytoplasm	Long-chain fatty-acid-CoA ligase FadD7	Fatty acid + ATP + CoA -> Acyl-CoA + AMP + PPi	6.2.1.3	MMAR_RS12495	fadD7	Long-chain fatty acid-CoA ligase FadD7	1.228	1.462e-01	1.969	2.422e-14	1.599	Upregulated
R_MPS1	GPL Biofilm & Cell Surface	Cytoplasm / Inner Membrane	GPL core non-ribosomal peptide synthetase Mps1	Fatty acyl-CoA + D-Phe + D-allo-Thr + D-Ala -> Lipopeptide core	6.3.2.-	MMAR_RS18395	mps1	Non-ribosomal peptide synthetase Mps1	-2.667	6.757e-01	-2.589	5.787e-01	-2.628	Downregulated
R_MPS2	GPL Biofilm & Cell Surface	Cytoplasm / Inner Membrane	GPL lipopeptide synthetase Mps2	Lipopeptide core + L-alaninol -> GPL precursor	6.3.2.-	MMAR_RS18400	mps2	Non-ribosomal peptide synthetase Mps2	-1.526	7.972e-01	-3.367	1.798e-01	-2.446	Downregulated
R_MURA	GPL Biofilm & Cell Surface	Cytoplasm	UDP-N-acetylglucosamine 1-carboxyvinyltransferase (Peptidoglycan)	UDP-GlcNAc + PEP -> UDP-GlcNAc-enolpyruvate + Pi	2.5.1.7	MMAR_RS06710	murA	UDP-N-acetylglucosamine 1-carboxyvinyltransferase MurA	3.246	2.794e-01	1.218	7.941e-01	2.232	Upregulated
R_ECCE1	Type VII Secretion & Virulence	Plasma Membrane	Type VII ESX-1 pore complex subunit EccE1	ESX-1 hexameric translocon pore stabilization	3.6.3.-	MMAR_RS00995	eccE1	Type VII secretion system membrane protein EccE1	3.162	6.435e-01	0.385	9.657e-01	1.773	Upregulated
R_ECCB1	Type VII Secretion & Virulence	Plasma Membrane	Type VII ESX-1 membrane core subunit EccB1	ESX-1 core periplasmic scaffold assembly	3.6.3.-	MMAR_RS00980	eccB1	Type VII secretion system protein EccB1	0.475	9.733e-01	0.553	9.249e-01	0.514	Upregulated
R_ESXA	Type VII Secretion & Virulence	Extracellular / Capsule	6 kDa early secretory antigenic target ESAT-6 (EsxA)	EsxA-EsxB heterodimer translocated across mycomembrane	N/A	MMAR_RS01000	esxA	ESX-1 secretion-associated protein EsxA	0.396	6.435e-01	-3.188	2.339e-01	-1.396	Downregulated
R_ESPB	Type VII Secretion & Virulence	Extracellular / Capsule	ESX-1 secretion system-associated protein EspB	EspB effector translocation and host membrane insertion	N/A	MMAR_RS00990	espB	EspB family ESX-1 secretion system-associated protein	-6.007	7.091e-14	-0.127	9.637e-01	-3.067	Downregulated
R_ARGF	Nitrogen Shunts & Polyamines	Cytoplasm	Ornithine carbamoyltransferase ArgF	Carbamoyl phosphate + L-Ornithine -> L-Citrulline + Pi	2.1.3.3	MMAR_RS12305	argF	Ornithine carbamoyltransferase ArgF	6.817	6.912e-12	7.206	2.422e-14	7.012	Upregulated
R_ALS	Nitrogen Shunts & Polyamines	Cytoplasm	Acetolactate synthase (Branched-chain amino acids)	2 Pyruvate -> 2-Acetolactate + CO2	2.2.1.6	MMAR_RS13445	ilvB	Acetolactate synthase large subunit	5.771	7.091e-14	6.545	2.422e-14	6.158	Upregulated
R_ADHP	Redox Homeostasis & Cofactors	Cytoplasm	Alcohol dehydrogenase AdhP	Primary alcohol + NAD+ <-> Aldehyde + NADH + H+	1.1.1.1	MMAR_RS24640	adhP	Alcohol dehydrogenase AdhP	6.949	7.091e-14	0.0	1.000e+00	3.475	Upregulated
R_RIBD	Redox Homeostasis & Cofactors	Cytoplasm	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (RibD)	Riboflavin / FAD biosynthesis intermediate reduction	3.5.4.26 / 1.1.1.193	MMAR_RS11045	ribD	Bifunctional RibD deaminase/reductase	6.16	1.041e-02	6.226	4.430e-03	6.193	Upregulated
R_F420	Redox Homeostasis & Cofactors	Cytoplasm	F420-dependent LLM class oxidoreductase	Substrate + Reduced F420 -> Product + Oxidized F420	1.5.-.-	MMAR_RS06790	f420_red	F420-dependent LLM class oxidoreductase	5.964	7.091e-14	5.89	2.422e-14	5.927	Upregulated
R_KATG	Redox Homeostasis & Cofactors	Cytoplasm / Periplasm	Catalase-peroxidase KatG	2 H2O2 -> 2 H2O + O2	1.11.1.21	MMAR_RS09685	katG	Catalase-peroxidase KatG	-1.714	8.030e-01	-1.602	7.532e-01	-1.658	Downregulated
R_HSPX	DosR Hypoxia & Dormancy	Cytoplasm / Cell Wall	Alpha-crystallin family heat shock protein HspX (Acr)	Chaperone stabilization of cell wall during oxygen starvation	N/A	MMAR_RS13905	hspX	Alpha-crystallin small heat shock protein HspX	-0.934	9.399e-01	-2.218	7.050e-01	-1.576	Downregulated
R_DOSR	DosR Hypoxia & Dormancy	Cytoplasm	DosR response regulator (Hypoxic boundary layer switch)	Transcriptional activation of 50-gene dormancy regulon	N/A	MMAR_RS03930	dosR	Two-component system response regulator DosR	0.274	8.329e-01	0.297	5.856e-01	0.286	Invariant
