reaction_id	subsystem	compartment	reaction_name	equation	ec_number	gene_id	gene_symbol	protein	clinostat_log2fc	clinostat_padj	rpm_log2fc	rpm_padj	mean_microgravity_log2fc	direction
R_NDH1_C	Cellular Respiration & Energy	Plasma Membrane	NADH-quinone oxidoreductase (Complex I)	NADH + Ubiquinone + 4 H+[c] -> NAD+ + Ubiquinol + 4 H+[p]	7.1.1.2	MMAR_RS07320	nuoC	NADH-quinone oxidoreductase subunit C	5.171	1.462e-01	6.593	1.668e-02	5.882	Upregulated
R_NDH1_D	Cellular Respiration & Energy	Plasma Membrane	NADH dehydrogenase subunit D (Complex I)	NADH dehydrogenase proton translocation	7.1.1.2	MMAR_RS07325	nuoD	NADH dehydrogenase subunit D	0.84	6.435e-01	1.258	4.284e-01	1.049	Upregulated
R_MENJ	Cellular Respiration & Energy	Plasma Membrane	Menaquinone reductase	Menaquinone + 2 H+ + 2 e- -> Menaquinol	1.3.5.2	MMAR_RS04470	menJ	Menaquinone reductase MenJ	4.374	2.876e-01	6.216	2.422e-14	5.295	Upregulated
R_CYDA	Cellular Respiration & Energy	Plasma Membrane	Cytochrome bd microaerophilic terminal oxidase	2 Menaquinol + O2 + 4 H+[c] -> 2 Menaquinone + 2 H2O + 4 H+[p]	1.10.3.14	MMAR_RS12095	cydA	Cytochrome bd oxidase subunit I	0.115	9.822e-01	0.287	6.680e-01	0.201	Invariant
R_CYDD	Cellular Respiration & Energy	Plasma Membrane	Thiol reductant ABC exporter CydD (Cytochrome bd assembly)	ATP + Thiol[c] -> ADP + Pi + Thiol[p]	7.6.2.2	MMAR_RS12080	cydD	Thiol reductant ABC exporter subunit CydD	6.16	1.263e-02	3.87	4.811e-01	5.015	Upregulated
R_ATPS	Cellular Respiration & Energy	Plasma Membrane	ATP synthase F1F0	ADP + Pi + 4 H+[p] -> ATP + H2O + 4 H+[c]	7.1.2.2	MMAR_RS07455	atpA	ATP synthase F1 subunit alpha	-1.333	4.881e-01	-3.111	4.301e-01	-2.222	Downregulated
R_ICL1	Central Carbon & Glyoxylate Shunt	Cytoplasm	Isocitrate lyase (Glyoxylate bypass)	Isocitrate -> Succinate + Glyoxylate	4.1.3.1	MMAR_RS05335	icl1	Isocitrate lyase Icl1	-1.717	8.200e-02	-0.465	5.959e-01	-1.091	Downregulated
R_GLCB	Central Carbon & Glyoxylate Shunt	Cytoplasm	Malate synthase G	Glyoxylate + Acetyl-CoA + H2O -> Malate + CoA	2.3.3.9	MMAR_RS13410	glcB	Malate synthase GlcB	0.0	1.000e+00	0.0	1.000e+00	0.0	Invariant
R_CS	Central Carbon & Glyoxylate Shunt	Cytoplasm	Citrate synthase	Oxaloacetate + Acetyl-CoA + H2O -> Citrate + CoA	2.3.3.1	MMAR_RS04685	gltA	Citrate synthase GltA	-0.053	1.000e+00	0.024	1.000e+00	-0.015	Invariant
R_SUCD	Central Carbon & Glyoxylate Shunt	Cytoplasm	Succinyl-CoA synthetase subunit alpha	Succinyl-CoA + ADP + Pi <-> Succinate + ATP + CoA	6.2.1.5	MMAR_RS13725	sucD	Succinyl-CoA synthetase subunit alpha	-1.727	1.536e-01	-1.391	2.003e-01	-1.559	Downregulated
