gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_RS17095	MMAR_RS17095	1-acyl-sn-glycerol-3-phosphate acyltransferase	General	-6.9933	1.0000e-15	2.4215e-14	YES
MMAR_RS17280	MMAR_RS17280	PPE family protein	General	-6.6063	1.0000e-15	2.4215e-14	YES
MMAR_RS17300	MMAR_RS17300	SDR family NAD(P)-dependent oxidoreductase	General	6.0835	1.0000e-15	2.4215e-14	YES
MMAR_RS17350	dosR	hypoxia response regulator transcription factor DosR/DevR	General	1.3519	1.0000e-15	2.4215e-14	YES
MMAR_RS17395	pdhA	pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha	General	3.0137	1.0000e-15	2.4215e-14	YES
MMAR_RS17485	MMAR_RS17485	helix-turn-helix domain-containing protein	General	-5.6232	1.0000e-15	2.4215e-14	YES
MMAR_RS17495	MMAR_RS17495	SDR family NAD(P)-dependent oxidoreductase	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS17610	MMAR_RS17610	class I SAM-dependent methyltransferase	General	-6.0522	1.0000e-15	2.4215e-14	YES
MMAR_RS17615	MMAR_RS17615	SAM-dependent methyltransferase	General	-3.3098	1.0000e-15	2.4215e-14	YES
MMAR_RS17680	MMAR_RS17680	protein kinase domain-containing protein	General	0.9536	1.0000e-15	2.4215e-14	YES
MMAR_RS17725	MMAR_RS17725	gamma-aminobutyraldehyde dehydrogenase	General	-6.1410	1.0000e-15	2.4215e-14	YES
MMAR_RS17745	MMAR_RS17745	TetR/AcrR family transcriptional regulator	General	-2.3468	1.0000e-15	2.4215e-14	YES
MMAR_RS17985	MMAR_RS17985	cation-translocating P-type ATPase	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS18055	MMAR_RS18055	CbiQ family ECF transporter T component	General	-5.2943	1.0000e-15	2.4215e-14	YES
MMAR_RS18200	MMAR_RS18200	WXG100 family type VII secretion target	General	2.6891	1.0000e-15	2.4215e-14	YES
MMAR_RS18205	esxM	type VII secretion system effector EsxM	General	2.6092	1.0000e-15	2.4215e-14	YES
MMAR_RS18510	MMAR_RS18510	OPT family oligopeptide transporter	General	1.5895	1.0000e-15	2.4215e-14	YES
MMAR_RS18655	MMAR_RS18655	MmpS family transport accessory protein	General	-8.9056	1.0000e-15	2.4215e-14	YES
MMAR_RS19015	MMAR_RS19015	Fpg/Nei family DNA glycosylase	General	-5.9463	1.0000e-15	2.4215e-14	YES
MMAR_RS19030	MMAR_RS19030	Rv2466c family mycothiol-dependent reductase	General	-3.9719	1.0000e-15	2.4215e-14	YES
MMAR_RS19100	MMAR_RS19100	NAD-glutamate dehydrogenase	General	1.8622	1.0000e-15	2.4215e-14	YES
MMAR_RS19285	MMAR_RS19285	MlaE family ABC transporter permease	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS19295	MMAR_RS19295	MlaD family protein	General	-5.2943	1.0000e-15	2.4215e-14	YES
MMAR_RS19755	MMAR_RS19755	lysophospholipid acyltransferase family protein	General	-7.3219	1.0000e-15	2.4215e-14	YES
MMAR_RS19780	macS	MacS family sensor histidine kinase	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS19840	MMAR_RS19840	MDR family MFS transporter	General	-5.6208	1.0000e-15	2.4215e-14	YES
MMAR_RS20030	MMAR_RS20030	acyl-CoA synthetase	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS20155	fabG	3-oxoacyl-ACP reductase FabG	General	-7.3234	1.0000e-15	2.4215e-14	YES
MMAR_RS20175	MMAR_RS20175	ABC transporter ATP-binding protein/permease	General	-7.3721	1.0000e-15	2.4215e-14	YES
MMAR_RS20495	MMAR_RS20495	L-threonylcarbamoyladenylate synthase	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS20760	MMAR_RS20760	ABC transporter ATP-binding protein	General	-6.3327	1.0000e-15	2.4215e-14	YES
MMAR_RS21090	MMAR_RS21090	lytic transglycosylase domain-containing protein	General	2.7839	1.0000e-15	2.4215e-14	YES
MMAR_RS21145	MMAR_RS21145	methyltransferase family protein	General	-6.7349	1.0000e-15	2.4215e-14	YES
MMAR_RS21475	MMAR_RS21475	4a-hydroxytetrahydrobiopterin dehydratase	General	-6.5250	1.0000e-15	2.4215e-14	YES
MMAR_RS21510	MMAR_RS21510	DUF1697 domain-containing protein	General	-5.8137	1.0000e-15	2.4215e-14	YES
MMAR_RS21560	MMAR_RS21560	NAD(P)H-binding protein	General	6.6022	1.0000e-15	2.4215e-14	YES
MMAR_RS21650	MMAR_RS21650	SDR family oxidoreductase	General	-8.1102	1.0000e-15	2.4215e-14	YES
MMAR_RS21755	MMAR_RS21755	PPE family protein	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS21830	MMAR_RS21830	heme-binding protein	General	-5.8137	1.0000e-15	2.4215e-14	YES
MMAR_RS21865	MMAR_RS21865	class II fumarate hydratase	General	1.8046	1.0000e-15	2.4215e-14	YES
MMAR_RS22010	MMAR_RS22010	PE family protein	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS22030	MMAR_RS22030	lipoprotein LpqV	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS22220	MMAR_RS22220	hypothetical protein	General	6.9314	1.0000e-15	2.4215e-14	YES
MMAR_RS22705	rpmF	50S ribosomal protein L32	General	2.6477	1.0000e-15	2.4215e-14	YES
MMAR_RS22865	cobF	precorrin-6A synthase (deacetylating)	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS23090	MMAR_RS23090	cupin domain-containing protein	General	-3.3212	1.0000e-15	2.4215e-14	YES
MMAR_RS23135	MMAR_RS23135	EspA/EspE family type VII secretion system effector	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS23215	MMAR_RS23215	FAD-binding dehydrogenase	General	-4.5557	1.0000e-15	2.4215e-14	YES
MMAR_RS23490	MMAR_RS23490	hypothetical protein	General	-5.8102	1.0000e-15	2.4215e-14	YES
MMAR_RS23530	MMAR_RS23530	cytochrome P450	General	-7.1690	1.0000e-15	2.4215e-14	YES
MMAR_RS23585	MMAR_RS23585	MCE family protein	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS23630	MMAR_RS23630	aldehyde dehydrogenase family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS23770	MMAR_RS23770	amidohydrolase family protein	General	-7.4787	1.0000e-15	2.4215e-14	YES
MMAR_RS23795	MMAR_RS23795	nuclear transport factor 2 family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS23870	MMAR_RS23870	cytochrome P450	General	-8.3601	1.0000e-15	2.4215e-14	YES
MMAR_RS24635	MMAR_RS24635	hypothetical protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS24655	MMAR_RS24655	PPE family protein	General	-3.1388	1.0000e-15	2.4215e-14	YES
MMAR_RS24670	MMAR_RS24670	DUF429 domain-containing protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS24735	MMAR_RS24735	cytochrome P450	General	-6.3816	1.0000e-15	2.4215e-14	YES
MMAR_RS24850	MMAR_RS24850	enoyl-CoA hydratase	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS24965	MMAR_RS24965	Rv3488 family transcriptional regulator	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS25015	MMAR_RS25015	virulence factor Mce family protein	General	2.7826	1.0000e-15	2.4215e-14	YES
MMAR_RS25020	MMAR_RS25020	MlaE family ABC transporter permease	General	1.9791	1.0000e-15	2.4215e-14	YES
MMAR_RS25040	MMAR_RS25040	acyl-CoA dehydrogenase	General	-3.7192	1.0000e-15	2.4215e-14	YES
MMAR_RS25100	MMAR_RS25100	acetoacetate decarboxylase family protein	General	-5.7268	1.0000e-15	2.4215e-14	YES
MMAR_RS25170	MMAR_RS25170	SDR family oxidoreductase	General	-5.8137	1.0000e-15	2.4215e-14	YES
MMAR_RS25175	MMAR_RS25175	hypothetical protein	General	-7.1850	1.0000e-15	2.4215e-14	YES
MMAR_RS25195	MMAR_RS25195	2-keto-4-pentenoate hydratase	General	-7.3955	1.0000e-15	2.4215e-14	YES
MMAR_RS25200	kstD	3-oxosteroid 1-dehydrogenase	General	-7.9038	1.0000e-15	2.4215e-14	YES
MMAR_RS25240	MMAR_RS25240	cytochrome P450	General	-4.6373	1.0000e-15	2.4215e-14	YES
MMAR_RS25260	MMAR_RS25260	SDR family oxidoreductase	General	-5.6208	1.0000e-15	2.4215e-14	YES
MMAR_RS25395	hsaC	iron-dependent extradiol dioxygenase HsaC	General	-6.4675	1.0000e-15	2.4215e-14	YES
MMAR_RS25435	MMAR_RS25435	metal ABC transporter solute-binding protein, Zn/Mn family	General	-7.9950	1.0000e-15	2.4215e-14	YES
MMAR_RS25550	MMAR_RS25550	DHA2 family efflux MFS transporter permease subunit	General	-5.9463	1.0000e-15	2.4215e-14	YES
MMAR_RS25730	MMAR_RS25730	DUF475 domain-containing protein	General	-6.5750	1.0000e-15	2.4215e-14	YES
MMAR_RS25880	MMAR_RS25880	phage holin family protein	General	-6.3345	1.0000e-15	2.4215e-14	YES
MMAR_RS26170	egtA	ergothioneine biosynthesis glutamate--cysteine ligase EgtA	General	-5.8135	1.0000e-15	2.4215e-14	YES
MMAR_RS26365	MMAR_RS26365	PPOX class F420-dependent oxidoreductase	General	-6.2752	1.0000e-15	2.4215e-14	YES
MMAR_RS26650	MMAR_RS26650	phosphotransferase family protein	General	-6.6602	1.0000e-15	2.4215e-14	YES
MMAR_RS26740	MMAR_RS26740	DUF4334 domain-containing protein	General	6.6022	1.0000e-15	2.4215e-14	YES
MMAR_RS26965	MMAR_RS26965	phosphatase PAP2 family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS29930	MMAR_RS29930	hypothetical protein	General	8.0191	1.0000e-15	2.4215e-14	YES
MMAR_RS27145	dinB	DNA polymerase IV	General	6.8770	1.0000e-15	2.4215e-14	YES
MMAR_RS29945	MMAR_RS29945	EspK C-terminal domain-containing protein	General	0.9072	1.0000e-15	2.4215e-14	YES
MMAR_RS11915	nadA	quinolinate synthase NadA	General	-1.9828	1.1523e-15	2.7768e-14	YES
MMAR_RS06390	MMAR_RS06390	alkane 1-monooxygenase	General	-4.4085	1.4549e-15	3.4889e-14	YES
MMAR_RS10550	secD	protein translocase subunit SecD	General	1.3804	4.4775e-15	1.0686e-13	YES
MMAR_RS14425	MMAR_RS14425	PPE family protein	General	-3.1738	1.1155e-14	2.6495e-13	YES
MMAR_RS15380	prcA	proteasome subunit alpha	General	1.6741	1.3481e-14	3.1867e-13	YES
MMAR_RS10975	coaBC	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase CoaBC	General	1.1838	1.8762e-14	4.4139e-13	YES
MMAR_RS03500	pta	phosphate acetyltransferase	General	1.7125	2.4482e-14	5.7324e-13	YES
MMAR_RS03210	pyrE	orotate phosphoribosyltransferase	General	-5.4920	2.5101e-14	5.8225e-13	YES
MMAR_RS05255	MMAR_RS05255	helix-turn-helix transcriptional regulator	General	-5.4920	2.5101e-14	5.8225e-13	YES
MMAR_RS08450	MMAR_RS08450	DoxX family protein	General	2.1493	4.1742e-14	9.6376e-13	YES
MMAR_RS22890	MMAR_RS22890	LLM class flavin-dependent oxidoreductase	General	-6.8225	6.3820e-14	1.4667e-12	YES
MMAR_RS14175	MMAR_RS14175	alpha-L-fucosidase	General	1.7110	6.7342e-14	1.5405e-12	YES
MMAR_RS30265	MMAR_RS30265	TetR/AcrR family transcriptional regulator	General	5.8000	1.0054e-13	2.2894e-12	YES
MMAR_RS16225	MMAR_RS16225	MFS transporter	General	2.4562	3.0636e-13	6.9441e-12	YES
MMAR_RS14530	MMAR_RS14530	Fur family transcriptional regulator	General	-1.6119	3.3626e-13	7.5872e-12	YES
MMAR_RS06880	MMAR_RS06880	alpha/beta fold hydrolase	General	2.2773	3.4153e-13	7.6713e-12	YES
MMAR_RS11790	MMAR_RS11790	SDR family NAD(P)-dependent oxidoreductase	General	2.2661	6.5142e-13	1.4566e-11	YES
MMAR_RS16845	queD	6-carboxytetrahydropterin synthase QueD	General	2.1054	6.5874e-13	1.4664e-11	YES
MMAR_RS25135	MMAR_RS25135	NHL repeat-containing protein	General	1.5989	7.5544e-13	1.6741e-11	YES
MMAR_RS25780	topA	type I DNA topoisomerase	General	1.3324	7.6362e-13	1.6847e-11	YES
MMAR_RS15445	MMAR_RS15445	non-ribosomal peptide synthetase	General	-2.0371	1.2162e-12	2.6713e-11	YES
MMAR_RS02565	MMAR_RS02565	MFS transporter	General	-5.6286	1.7158e-12	3.7031e-11	YES
MMAR_RS02930	MMAR_RS02930	DUF1330 domain-containing protein	General	-5.6286	1.7158e-12	3.7031e-11	YES
MMAR_RS20655	MMAR_RS20655	NAD-binding protein	General	-5.6286	1.7158e-12	3.7031e-11	YES
MMAR_RS26395	MMAR_RS26395	PPE family protein	General	-5.6286	1.7158e-12	3.7031e-11	YES
MMAR_RS01140	MMAR_RS01140	heavy-metal-associated domain-containing protein	General	-2.3700	1.8773e-12	4.0342e-11	YES
MMAR_RS11660	pks2	sulfolipid-1 biosynthesis phthioceranic/hydroxyphthioceranic acid synthase	General	2.7388	4.3242e-12	9.2523e-11	YES
