gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_RS00440	MMAR_RS00440	helix-turn-helix transcriptional regulator	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS00475	MMAR_RS00475	DHA2 family efflux MFS transporter permease subunit	General	-5.7268	1.0000e-15	2.4215e-14	YES
MMAR_RS00500	MMAR_RS00500	non-ribosomal peptide synthetase	General	-2.2399	1.0000e-15	2.4215e-14	YES
MMAR_RS00775	MMAR_RS00775	acyl-CoA dehydrogenase family protein	General	-5.8121	1.0000e-15	2.4215e-14	YES
MMAR_RS00785	MMAR_RS00785	NADP-dependent isocitrate dehydrogenase	General	0.9569	1.0000e-15	2.4215e-14	YES
MMAR_RS00810	MMAR_RS00810	GNAT family N-acetyltransferase	General	-6.7117	1.0000e-15	2.4215e-14	YES
MMAR_RS01135	MMAR_RS01135	DUF8832 domain-containing protein	General	-2.6500	1.0000e-15	2.4215e-14	YES
MMAR_RS27990	MMAR_RS27990	Zn-dependent alcohol dehydrogenase	General	-5.2943	1.0000e-15	2.4215e-14	YES
MMAR_RS01240	MMAR_RS01240	SRPBCC family protein	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS01265	fadD10	fatty acid-ACP ligase MmaC	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS01305	MMAR_RS01305	DUF5134 domain-containing protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS01430	rpmG	50S ribosomal protein L33	General	-7.3086	1.0000e-15	2.4215e-14	YES
MMAR_RS01510	MMAR_RS01510	aromatic ring-hydroxylating oxygenase subunit alpha	General	-5.8102	1.0000e-15	2.4215e-14	YES
MMAR_RS01725	MMAR_RS01725	DUF427 domain-containing protein	General	-3.5987	1.0000e-15	2.4215e-14	YES
MMAR_RS01865	MMAR_RS01865	NAD(P) transhydrogenase subunit alpha part 2	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS01930	MMAR_RS01930	acyl-CoA thioesterase	General	-7.1708	1.0000e-15	2.4215e-14	YES
MMAR_RS01955	MMAR_RS01955	hypothetical protein	General	-7.8741	1.0000e-15	2.4215e-14	YES
MMAR_RS02020	MMAR_RS02020	MlaE family ABC transporter permease	General	3.3411	1.0000e-15	2.4215e-14	YES
MMAR_RS02270	MMAR_RS02270	class I SAM-dependent methyltransferase	General	-5.8137	1.0000e-15	2.4215e-14	YES
MMAR_RS02360	MMAR_RS02360	PE family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS02505	MMAR_RS02505	MFS transporter	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS02525	MMAR_RS02525	Rv0250c family protein	General	2.5413	1.0000e-15	2.4215e-14	YES
MMAR_RS02600	fadD2	long-chain-fatty-acid--CoA ligase FadD2	General	1.9190	1.0000e-15	2.4215e-14	YES
MMAR_RS02620	MMAR_RS02620	alpha/beta hydrolase	General	-6.8170	1.0000e-15	2.4215e-14	YES
MMAR_RS02625	MMAR_RS02625	TetR/AcrR family transcriptional regulator	General	-5.6208	1.0000e-15	2.4215e-14	YES
MMAR_RS02650	MMAR_RS02650	PPE family protein	General	-7.8301	1.0000e-15	2.4215e-14	YES
MMAR_RS02840	MMAR_RS02840	MFS transporter	General	-3.1095	1.0000e-15	2.4215e-14	YES
MMAR_RS03605	MMAR_RS03605	membrane protein	General	-7.7936	1.0000e-15	2.4215e-14	YES
MMAR_RS03890	MMAR_RS03890	PPE family protein	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS04155	MMAR_RS04155	glutaredoxin family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS04440	MMAR_RS04440	MarR family winged helix-turn-helix transcriptional regulator	General	-6.3821	1.0000e-15	2.4215e-14	YES
MMAR_RS04470	menJ	menaquinone reductase MenJ	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS31070	MMAR_RS31070	AfsR/SARP family transcriptional regulator	General	-6.1386	1.0000e-15	2.4215e-14	YES
MMAR_RS05080	MMAR_RS05080	lipase family protein	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS05235	MMAR_RS05235	class I SAM-dependent methyltransferase	General	-6.6621	1.0000e-15	2.4215e-14	YES
MMAR_RS31095	MMAR_RS31095	PE family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS05990	alc	allantoicase	General	-5.6197	1.0000e-15	2.4215e-14	YES
MMAR_RS06010	MMAR_RS06010	alpha/beta fold hydrolase	General	-5.6197	1.0000e-15	2.4215e-14	YES
MMAR_RS06095	MMAR_RS06095	magnesium transporter CorA family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS06200	MMAR_RS06200	SufE family protein	General	1.1212	1.0000e-15	2.4215e-14	YES
MMAR_RS06415	MMAR_RS06415	PecA family PE domain-processing aspartic protease	General	-5.8102	1.0000e-15	2.4215e-14	YES
MMAR_RS06525	MMAR_RS06525	winged helix-turn-helix transcriptional regulator	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS06550	MMAR_RS06550	PucR family transcriptional regulator	General	-5.6197	1.0000e-15	2.4215e-14	YES
MMAR_RS06605	MMAR_RS06605	sigma-70 family RNA polymerase sigma factor	General	-3.5447	1.0000e-15	2.4215e-14	YES
MMAR_RS06610	rsrA	mycothiol system anti-sigma-R factor	General	-2.3398	1.0000e-15	2.4215e-14	YES
MMAR_RS06635	MMAR_RS06635	hypothetical protein	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS06790	MMAR_RS06790	TIGR03617 family F420-dependent LLM class oxidoreductase	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS06915	MMAR_RS06915	SDR family NAD(P)-dependent oxidoreductase	General	-5.9463	1.0000e-15	2.4215e-14	YES
MMAR_RS07190	MMAR_RS07190	type II toxin-antitoxin system PemK/MazF family toxin	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS07390	MMAR_RS07390	alpha/beta hydrolase	General	-7.0675	1.0000e-15	2.4215e-14	YES
MMAR_RS07435	MMAR_RS07435	TetR/AcrR family transcriptional regulator	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS07475	MMAR_RS07475	hypothetical protein	General	-6.8170	1.0000e-15	2.4215e-14	YES
MMAR_RS29685	MMAR_RS29685	hypothetical protein	General	6.5452	1.0000e-15	2.4215e-14	YES
MMAR_RS07625	MMAR_RS07625	PadR family transcriptional regulator	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS07650	MMAR_RS07650	pyridoxamine 5'-phosphate oxidase family protein	General	-6.2752	1.0000e-15	2.4215e-14	YES
MMAR_RS07695	MMAR_RS07695	NADP-dependent oxidoreductase	General	-6.0025	1.0000e-15	2.4215e-14	YES
MMAR_RS07700	MMAR_RS07700	glutamate-cysteine ligase family protein	General	-6.1391	1.0000e-15	2.4215e-14	YES
MMAR_RS07795	MMAR_RS07795	SRPBCC family protein	General	7.2062	1.0000e-15	2.4215e-14	YES
MMAR_RS07970	MMAR_RS07970	hypothetical protein	General	1.1212	1.0000e-15	2.4215e-14	YES
MMAR_RS08045	MMAR_RS08045	winged helix-turn-helix transcriptional regulator	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS08110	MMAR_RS08110	redoxin NrdH	General	-1.0498	1.0000e-15	2.4215e-14	YES
MMAR_RS08195	MMAR_RS08195	hypothetical protein	General	-5.2943	1.0000e-15	2.4215e-14	YES
MMAR_RS08245	MMAR_RS08245	outer membrane protein assembly factor BamB family protein	General	-5.4848	1.0000e-15	2.4215e-14	YES
MMAR_RS08395	MMAR_RS08395	MMPL family transporter	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS08460	MMAR_RS08460	acetolactate synthase large subunit	General	1.5957	1.0000e-15	2.4215e-14	YES
MMAR_RS08690	MMAR_RS08690	permease	General	-3.2718	1.0000e-15	2.4215e-14	YES
MMAR_RS08970	MMAR_RS08970	NAD-dependent epimerase/dehydratase family protein	General	-7.3744	1.0000e-15	2.4215e-14	YES
MMAR_RS09050	pyrH	UMP kinase	General	1.5402	1.0000e-15	2.4215e-14	YES
MMAR_RS09095	MMAR_RS09095	cytochrome c biogenesis protein DipZ	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS09255	MMAR_RS09255	nickel-dependent hydrogenase large subunit	General	1.7117	1.0000e-15	2.4215e-14	YES
MMAR_RS09300	MMAR_RS09300	MFS transporter	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS09585	MMAR_RS09585	aromatic ring-hydroxylating dioxygenase subunit alpha	General	-5.9498	1.0000e-15	2.4215e-14	YES
MMAR_RS09865	MMAR_RS09865	TerC/Alx family metal homeostasis membrane protein	General	-6.4687	1.0000e-15	2.4215e-14	YES
MMAR_RS09950	MMAR_RS09950	DUF7455 domain-containing protein	General	-2.7810	1.0000e-15	2.4215e-14	YES
MMAR_RS10005	MMAR_RS10005	serine aminopeptidase domain-containing protein	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS10025	MMAR_RS10025	potassium channel family protein	General	1.1615	1.0000e-15	2.4215e-14	YES
MMAR_RS10230	MMAR_RS10230	ArsI/CadI family heavy metal resistance metalloenzyme	General	-2.5576	1.0000e-15	2.4215e-14	YES
MMAR_RS10345	fdxA	ferredoxin	General	-6.2762	1.0000e-15	2.4215e-14	YES
MMAR_RS10350	MMAR_RS10350	helix-turn-helix transcriptional regulator	General	-7.4744	1.0000e-15	2.4215e-14	YES
MMAR_RS10805	alaS	alanine--tRNA ligase	General	1.4949	1.0000e-15	2.4215e-14	YES
MMAR_RS11340	trxA	thioredoxin	General	-3.0315	1.0000e-15	2.4215e-14	YES
MMAR_RS11345	MMAR_RS11345	enoyl-CoA hydratase	General	-3.1585	1.0000e-15	2.4215e-14	YES
MMAR_RS11450	MMAR_RS11450	response regulator transcription factor	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS11505	MMAR_RS11505	nucleotide sugar dehydrogenase	General	2.1996	1.0000e-15	2.4215e-14	YES
MMAR_RS11670	MMAR_RS11670	MMPL family RND transporter	General	2.6945	1.0000e-15	2.4215e-14	YES
MMAR_RS11835	MMAR_RS11835	pyridoxamine 5'-phosphate oxidase family protein	General	-2.7075	1.0000e-15	2.4215e-14	YES
MMAR_RS12120	MMAR_RS12120	Zn-ribbon domain-containing OB-fold protein	General	-6.7105	1.0000e-15	2.4215e-14	YES
MMAR_RS12130	rpsA	30S ribosomal protein S1	General	1.5006	1.0000e-15	2.4215e-14	YES
MMAR_RS12305	argF	ornithine carbamoyltransferase	General	7.2062	1.0000e-15	2.4215e-14	YES
MMAR_RS12495	MMAR_RS12495	CTP synthase	General	1.9691	1.0000e-15	2.4215e-14	YES
MMAR_RS12510	MMAR_RS12510	O-methyltransferase	General	-7.4163	1.0000e-15	2.4215e-14	YES
MMAR_RS12520	MMAR_RS12520	SCO3242 family prenyltransferase	General	-6.0025	1.0000e-15	2.4215e-14	YES
MMAR_RS12615	der	ribosome biogenesis GTPase Der	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS12775	MMAR_RS12775	LLM class flavin-dependent oxidoreductase	General	-7.3228	1.0000e-15	2.4215e-14	YES
MMAR_RS12780	MMAR_RS12780	Rv0792c family HTH-type transcriptional regulator	General	-7.8652	1.0000e-15	2.4215e-14	YES
MMAR_RS12845	MMAR_RS12845	SCO6745 family protein	General	-5.9487	1.0000e-15	2.4215e-14	YES
MMAR_RS13120	MMAR_RS13120	Gfo/Idh/MocA family protein	General	6.2160	1.0000e-15	2.4215e-14	YES
MMAR_RS13165	MMAR_RS13165	hypothetical protein	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS13395	MMAR_RS13395	DUF732 domain-containing protein	General	-5.8137	1.0000e-15	2.4215e-14	YES
MMAR_RS13445	MMAR_RS13445	acetolactate synthase	General	6.5452	1.0000e-15	2.4215e-14	YES
MMAR_RS13450	secA2	accessory Sec system translocase SecA2	General	1.7841	1.0000e-15	2.4215e-14	YES
MMAR_RS13715	lon	endopeptidase La	General	-2.8341	1.0000e-15	2.4215e-14	YES
MMAR_RS13735	MMAR_RS13735	peroxiredoxin	General	-3.0695	1.0000e-15	2.4215e-14	YES
MMAR_RS13785	MMAR_RS13785	amidase	General	1.9627	1.0000e-15	2.4215e-14	YES
MMAR_RS13985	MMAR_RS13985	PPE family protein	General	-6.7973	1.0000e-15	2.4215e-14	YES
MMAR_RS14020	MMAR_RS14020	SRPBCC family protein	General	-6.3845	1.0000e-15	2.4215e-14	YES
MMAR_RS14360	MMAR_RS14360	virulence factor Mce family protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS14515	MMAR_RS14515	alpha/beta fold hydrolase	General	-6.6046	1.0000e-15	2.4215e-14	YES
MMAR_RS14585	MMAR_RS14585	MMP alpha-(1->4)-mannosyltransferase	General	-8.0783	1.0000e-15	2.4215e-14	YES
MMAR_RS14590	MMAR_RS14590	NAD(P)/FAD-dependent oxidoreductase	General	-5.6197	1.0000e-15	2.4215e-14	YES
MMAR_RS14595	MMAR_RS14595	VOC family protein	General	-5.2997	1.0000e-15	2.4215e-14	YES
MMAR_RS14645	MMAR_RS14645	thioredoxin family protein	General	-5.6197	1.0000e-15	2.4215e-14	YES
MMAR_RS14935	MMAR_RS14935	Hsp20/alpha crystallin family protein	General	-3.1244	1.0000e-15	2.4215e-14	YES
MMAR_RS15075	MMAR_RS15075	hypothetical protein	General	5.5607	1.0000e-15	2.4215e-14	YES
MMAR_RS15170	MMAR_RS15170	SDR family oxidoreductase	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS15430	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI	General	5.8899	1.0000e-15	2.4215e-14	YES
MMAR_RS16000	MMAR_RS16000	alpha-(1->6)-mannopyranosyltransferase A	General	1.4535	1.0000e-15	2.4215e-14	YES
MMAR_RS16155	qcrB	cytochrome bc1 complex cytochrome b subunit	General	1.1057	1.0000e-15	2.4215e-14	YES
MMAR_RS16295	MMAR_RS16295	MmpS family transport accessory protein	General	5.7954	1.0000e-15	2.4215e-14	YES
MMAR_RS16880	MMAR_RS16880	SDR family oxidoreductase	General	-4.9743	1.0000e-15	2.4215e-14	YES
MMAR_RS16975	MMAR_RS16975	maleate cis-trans isomerase family protein	General	6.9314	1.0000e-15	2.4215e-14	YES
