gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_RS03465	MMAR_RS03465	NtaA/DmoA family FMN-dependent monooxygenase	General	-5.8899	1.0000e-15	3.5712e-14	YES
MMAR_RS03665	MMAR_RS03665	N-acetylglutamate synthase, CG3035 family	General	5.7709	1.0000e-15	3.5712e-14	YES
MMAR_RS03700	MMAR_RS03700	MFS transporter	General	5.9619	1.0000e-15	3.5712e-14	YES
MMAR_RS03795	MMAR_RS03795	DUF1365 domain-containing protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS03815	MMAR_RS03815	TetR/AcrR family transcriptional regulator	General	6.0972	1.0000e-15	3.5712e-14	YES
MMAR_RS03890	MMAR_RS03890	PPE family protein	General	6.7556	1.0000e-15	3.5712e-14	YES
MMAR_RS03955	MMAR_RS03955	DUF2516 family protein	General	-2.1708	1.0000e-15	3.5712e-14	YES
MMAR_RS04050	MMAR_RS04050	tocopherol cyclase family protein	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS04270	MMAR_RS04270	APC family permease	General	6.6188	1.0000e-15	3.5712e-14	YES
MMAR_RS04415	MMAR_RS04415	o-succinylbenzoate synthase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS04720	MMAR_RS04720	patatin-like phospholipase family protein	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS04845	MMAR_RS04845	amidase	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS05235	MMAR_RS05235	class I SAM-dependent methyltransferase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS05255	MMAR_RS05255	helix-turn-helix transcriptional regulator	General	5.7709	1.0000e-15	3.5712e-14	YES
MMAR_RS05345	rfbC	dTDP-4-dehydrorhamnose 3,5-epimerase	General	6.4836	1.0000e-15	3.5712e-14	YES
MMAR_RS05480	MMAR_RS05480	type VII secretion target	General	5.7709	1.0000e-15	3.5712e-14	YES
MMAR_RS05700	MMAR_RS05700	nucleoside hydrolase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS05790	MMAR_RS05790	AMP-binding protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS05960	MMAR_RS05960	cytidine deaminase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS05965	MMAR_RS05965	thymidine phosphorylase	General	6.7565	1.0000e-15	3.5712e-14	YES
MMAR_RS06380	MMAR_RS06380	FAD-dependent oxidoreductase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS06550	MMAR_RS06550	PucR family transcriptional regulator	General	6.4855	1.0000e-15	3.5712e-14	YES
MMAR_RS06825	MMAR_RS06825	TIGR03619 family F420-dependent LLM class oxidoreductase	General	6.4836	1.0000e-15	3.5712e-14	YES
MMAR_RS07380	MMAR_RS07380	hydroxymethylglutaryl-CoA lyase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS07435	MMAR_RS07435	TetR/AcrR family transcriptional regulator	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS07475	MMAR_RS07475	hypothetical protein	General	6.2904	1.0000e-15	3.5712e-14	YES
MMAR_RS29685	MMAR_RS29685	hypothetical protein	General	-6.5452	1.0000e-15	3.5712e-14	YES
MMAR_RS07695	MMAR_RS07695	NADP-dependent oxidoreductase	General	6.2909	1.0000e-15	3.5712e-14	YES
MMAR_RS07920	MMAR_RS07920	DUF732 domain-containing protein	General	6.7556	1.0000e-15	3.5712e-14	YES
MMAR_RS08095	MMAR_RS08095	TetR/AcrR family transcriptional regulator	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS08190	MMAR_RS08190	respiratory chain complex I subunit 1 family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS08395	MMAR_RS08395	MMPL family transporter	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS08605	MMAR_RS08605	uracil-DNA glycosylase	General	6.2923	1.0000e-15	3.5712e-14	YES
MMAR_RS08865	MMAR_RS08865	[protein-PII	General	1.9630	1.0000e-15	3.5712e-14	YES
MMAR_RS08975	fdhD	formate dehydrogenase accessory sulfurtransferase FdhD	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS09095	MMAR_RS09095	cytochrome c biogenesis protein DipZ	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS09245	MMAR_RS09245	DUF5947 family protein	General	6.0975	1.0000e-15	3.5712e-14	YES
MMAR_RS09355	MMAR_RS09355	hypothetical protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS10340	MMAR_RS10340	MFS transporter	General	-1.4889	1.0000e-15	3.5712e-14	YES
MMAR_RS11260	MMAR_RS11260	COX15/CtaA family protein	General	6.0990	1.0000e-15	3.5712e-14	YES
MMAR_RS11450	MMAR_RS11450	response regulator transcription factor	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS11500	MMAR_RS11500	GtrA family protein	General	6.0975	1.0000e-15	3.5712e-14	YES
MMAR_RS11690	MMAR_RS11690	nitronate monooxygenase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS12430	MMAR_RS12430	PE family protein	General	-5.8899	1.0000e-15	3.5712e-14	YES
MMAR_RS12510	MMAR_RS12510	O-methyltransferase	General	6.9489	1.0000e-15	3.5712e-14	YES
MMAR_RS12610	cmk	(d)CMP kinase	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS12775	MMAR_RS12775	LLM class flavin-dependent oxidoreductase	General	6.2900	1.0000e-15	3.5712e-14	YES
MMAR_RS12855	MMAR_RS12855	PE family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS13175	MMAR_RS13175	TetR/AcrR family transcriptional regulator	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS13235	MMAR_RS13235	TetR/AcrR family transcriptional regulator	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS13370	MMAR_RS13370	PPE family protein	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS13945	MMAR_RS13945	sialate:H+ symport family MFS transporter	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS13985	MMAR_RS13985	PPE family protein	General	6.4836	1.0000e-15	3.5712e-14	YES
MMAR_RS14040	MMAR_RS14040	hypothetical protein	General	-6.5452	1.0000e-15	3.5712e-14	YES
MMAR_RS14190	MMAR_RS14190	SDR family oxidoreductase	General	5.7709	1.0000e-15	3.5712e-14	YES
MMAR_RS14360	MMAR_RS14360	virulence factor Mce family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS14550	MMAR_RS14550	sulfurtransferase	General	-5.8899	1.0000e-15	3.5712e-14	YES
MMAR_RS14700	MMAR_RS14700	PE family protein	General	6.2903	1.0000e-15	3.5712e-14	YES
MMAR_RS14725	MMAR_RS14725	DUF1906 domain-containing protein	General	6.4298	1.0000e-15	3.5712e-14	YES
MMAR_RS15425	MMAR_RS15425	DUF503 domain-containing protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS16880	MMAR_RS16880	SDR family oxidoreductase	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS16940	MMAR_RS16940	class I SAM-dependent methyltransferase	General	6.4256	1.0000e-15	3.5712e-14	YES
MMAR_RS17200	MMAR_RS17200	hypothetical protein	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS17550	MMAR_RS17550	aldo/keto reductase	General	6.6190	1.0000e-15	3.5712e-14	YES
MMAR_RS17620	MMAR_RS17620	DUF6632 domain-containing protein	General	7.1931	1.0000e-15	3.5712e-14	YES
MMAR_RS18055	MMAR_RS18055	CbiQ family ECF transporter T component	General	6.7565	1.0000e-15	3.5712e-14	YES
MMAR_RS18450	MMAR_RS18450	flavin-containing monooxygenase	General	-0.9657	1.0000e-15	3.5712e-14	YES
MMAR_RS18515	MMAR_RS18515	sulfate/molybdate ABC transporter ATP-binding protein	General	-6.6022	1.0000e-15	3.5712e-14	YES
MMAR_RS18580	MMAR_RS18580	PE family protein	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS18690	MMAR_RS18690	class I SAM-dependent methyltransferase	General	6.4296	1.0000e-15	3.5712e-14	YES
MMAR_RS19295	MMAR_RS19295	MlaD family protein	General	6.0991	1.0000e-15	3.5712e-14	YES
MMAR_RS19490	MMAR_RS19490	terminase large subunit domain-containing protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS19980	MMAR_RS19980	Zn-dependent alcohol dehydrogenase	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS20045	MMAR_RS20045	acyl-CoA dehydrogenase family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS20170	MMAR_RS20170	ABC transporter ATP-binding protein	General	-6.0835	1.0000e-15	3.5712e-14	YES
MMAR_RS20175	MMAR_RS20175	ABC transporter ATP-binding protein/permease	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS20290	murI	glutamate racemase	General	-1.4889	1.0000e-15	3.5712e-14	YES
MMAR_RS20450	atpD	F0F1 ATP synthase subunit beta	General	-0.5648	1.0000e-15	3.5712e-14	NO
MMAR_RS20655	MMAR_RS20655	NAD-binding protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS20760	MMAR_RS20760	ABC transporter ATP-binding protein	General	6.7583	1.0000e-15	3.5712e-14	YES
MMAR_RS20905	MMAR_RS20905	serine/threonine-protein kinase	General	6.7563	1.0000e-15	3.5712e-14	YES
MMAR_RS20920	MMAR_RS20920	HIT family protein	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS20960	MMAR_RS20960	TetR/AcrR family transcriptional regulator	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS21145	MMAR_RS21145	methyltransferase family protein	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS21475	MMAR_RS21475	4a-hydroxytetrahydrobiopterin dehydratase	General	6.7274	1.0000e-15	3.5712e-14	YES
MMAR_RS29865	MMAR_RS29865	hypothetical protein	General	-5.8899	1.0000e-15	3.5712e-14	YES
MMAR_RS21830	MMAR_RS21830	heme-binding protein	General	6.2900	1.0000e-15	3.5712e-14	YES
MMAR_RS21995	MMAR_RS21995	enoyl-CoA hydratase/isomerase family protein	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS22190	MMAR_RS22190	iron-containing redox enzyme family protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS22570	MMAR_RS22570	oligosaccharide flippase family protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS22890	MMAR_RS22890	LLM class flavin-dependent oxidoreductase	General	6.5338	1.0000e-15	3.5712e-14	YES
MMAR_RS22920	MMAR_RS22920	carbohydrate kinase family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS22930	pstS	phosphate ABC transporter substrate-binding protein PstS	General	-1.1325	1.0000e-15	3.5712e-14	YES
MMAR_RS22965	MMAR_RS22965	flavodoxin family protein	General	-6.2160	1.0000e-15	3.5712e-14	YES
MMAR_RS23090	MMAR_RS23090	cupin domain-containing protein	General	2.1570	1.0000e-15	3.5712e-14	YES
MMAR_RS23570	MMAR_RS23570	Rv1363c family protein	General	1.5814	1.0000e-15	3.5712e-14	YES
MMAR_RS23610	MMAR_RS23610	MCE family protein	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS23705	MMAR_RS23705	NADH-ubiquinone oxidoreductase-F iron-sulfur binding region domain-containing protein	General	5.7709	1.0000e-15	3.5712e-14	YES
MMAR_RS23795	MMAR_RS23795	nuclear transport factor 2 family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS23960	MMAR_RS23960	FAD-dependent oxidoreductase	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS24345	MMAR_RS24345	ArsR/SmtB family transcription factor	General	6.6948	1.0000e-15	3.5712e-14	YES
MMAR_RS24580	MMAR_RS24580	PPE family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS24640	adhP	alcohol dehydrogenase AdhP	General	6.9491	1.0000e-15	3.5712e-14	YES
MMAR_RS24755	MMAR_RS24755	nuclear transport factor 2-like protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS25075	MMAR_RS25075	PE family protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS25100	MMAR_RS25100	acetoacetate decarboxylase family protein	General	7.1929	1.0000e-15	3.5712e-14	YES
MMAR_RS25105	MMAR_RS25105	LLM class F420-dependent oxidoreductase	General	6.2903	1.0000e-15	3.5712e-14	YES
MMAR_RS25355	MMAR_RS25355	arylamine N-acetyltransferase family protein	General	6.2904	1.0000e-15	3.5712e-14	YES
MMAR_RS25730	MMAR_RS25730	DUF475 domain-containing protein	General	6.4272	1.0000e-15	3.5712e-14	YES
MMAR_RS25880	MMAR_RS25880	phage holin family protein	General	6.4275	1.0000e-15	3.5712e-14	YES
MMAR_RS25885	MMAR_RS25885	alpha/beta fold hydrolase	General	6.2900	1.0000e-15	3.5712e-14	YES
MMAR_RS25975	MMAR_RS25975	DUF4193 domain-containing protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS26135	glpK	glycerol kinase GlpK	General	-6.5452	1.0000e-15	3.5712e-14	YES
MMAR_RS26170	egtA	ergothioneine biosynthesis glutamate--cysteine ligase EgtA	General	6.6184	1.0000e-15	3.5712e-14	YES
MMAR_RS26340	MMAR_RS26340	hypothetical protein	General	5.7691	1.0000e-15	3.5712e-14	YES
MMAR_RS26445	MMAR_RS26445	NUDIX hydrolase	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS26620	MMAR_RS26620	LapA family protein	General	1.9421	1.0000e-15	3.5712e-14	YES
MMAR_RS26630	MMAR_RS26630	histidine phosphatase family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS26650	MMAR_RS26650	phosphotransferase family protein	General	5.9637	1.0000e-15	3.5712e-14	YES
MMAR_RS26720	MMAR_RS26720	phosphotransferase family protein	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS26735	MMAR_RS26735	aromatic amino acid aminotransferase	General	-2.3084	1.0000e-15	3.5712e-14	YES
MMAR_RS27160	MMAR_RS27160	hypothetical protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS18095	MMAR_RS18095	non-ribosomal peptide synthetase	General	1.8564	1.3036e-14	4.6223e-13	YES
MMAR_RS03145	grpE	nucleotide exchange factor GrpE	General	1.9166	3.9703e-14	1.3978e-12	YES
MMAR_RS20195	rdgB	RdgB/HAM1 family non-canonical purine NTP pyrophosphatase	General	1.6880	1.2626e-13	4.4138e-12	YES
MMAR_RS15050	MMAR_RS15050	nicotinamidase	General	-1.3252	3.5258e-13	1.2239e-11	YES
MMAR_RS05875	MMAR_RS05875	epoxide hydrolase EphH	General	-0.7813	9.3597e-13	3.2265e-11	YES
MMAR_RS16275	MMAR_RS16275	ABC transporter ATP-binding protein	General	-1.6825	2.7885e-12	9.5462e-11	YES
MMAR_RS07795	MMAR_RS07795	SRPBCC family protein	General	-1.7637	3.4673e-11	1.1789e-09	YES
MMAR_RS21965	MMAR_RS21965	RDD family protein	General	1.2668	1.4138e-10	4.7743e-09	YES
MMAR_RS02025	MMAR_RS02025	MlaE family ABC transporter permease	General	0.7891	1.5377e-10	5.1577e-09	YES
MMAR_RS08435	gatB	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	General	1.6424	5.3410e-10	1.7794e-08	YES
MMAR_RS14530	MMAR_RS14530	Fur family transcriptional regulator	General	1.4736	5.8897e-09	1.9491e-07	YES
MMAR_RS11515	MMAR_RS11515	glycosyltransferase	General	-1.4722	1.0815e-08	3.5554e-07	YES
MMAR_RS13165	MMAR_RS13165	hypothetical protein	General	6.5403	3.4921e-08	1.1404e-06	YES
MMAR_RS09565	MMAR_RS09565	metal-dependent hydrolase	General	1.6087	6.3192e-08	2.0502e-06	YES
MMAR_RS09050	pyrH	UMP kinase	General	-1.1707	9.9036e-08	3.1923e-06	YES
MMAR_RS19815	MMAR_RS19815	aldehyde dehydrogenase	General	1.0577	1.8210e-07	5.8320e-06	YES
MMAR_RS13200	MMAR_RS13200	carboxymuconolactone decarboxylase family protein	General	-2.3026	2.7577e-07	8.7751e-06	YES
MMAR_RS24705	purD	phosphoribosylamine--glycine ligase	General	-1.8752	2.8027e-07	8.8614e-06	YES
MMAR_RS17355	MMAR_RS17355	universal stress protein	General	-1.3621	3.5534e-07	1.1164e-05	YES
MMAR_RS04830	MMAR_RS04830	alpha/beta fold hydrolase	General	1.2509	3.6443e-07	1.1236e-05	YES
MMAR_RS11475	scpA	methylmalonyl-CoA mutase	General	1.2509	3.6443e-07	1.1236e-05	YES
MMAR_RS23465	MMAR_RS23465	CaiB/BaiF CoA transferase family protein	General	1.2509	3.6443e-07	1.1236e-05	YES
MMAR_RS22705	rpmF	50S ribosomal protein L32	General	-1.9774	3.9221e-07	1.2018e-05	YES
MMAR_RS27360	MMAR_RS27360	PPE family protein	General	-0.7724	9.2038e-07	2.8029e-05	YES
MMAR_RS23425	MMAR_RS23425	LLM class F420-dependent oxidoreductase	General	1.5817	1.7125e-06	5.1833e-05	YES
MMAR_RS00200	MMAR_RS00200	ABC transporter permease	General	-1.1623	1.9801e-06	5.9212e-05	YES
MMAR_RS17375	MMAR_RS17375	Mtp family mycobacterial-type pilin	General	-1.1623	1.9801e-06	5.9212e-05	YES
MMAR_RS00205	MMAR_RS00205	cold-shock protein	General	1.1396	2.9706e-06	8.7776e-05	YES
MMAR_RS22925	ku	non-homologous end joining protein Ku	General	1.9130	2.9690e-06	8.7776e-05	YES
MMAR_RS07675	MMAR_RS07675	cellulase family glycosylhydrolase	General	1.6282	3.8136e-06	1.1202e-04	YES
MMAR_RS05285	MMAR_RS05285	SAM-dependent methyltransferase	General	-1.6533	3.9776e-06	1.1614e-04	YES
MMAR_RS25610	MMAR_RS25610	Rossmann-like and DUF2520 domain-containing protein	General	1.3882	5.8821e-06	1.7075e-04	YES
MMAR_RS10025	MMAR_RS10025	potassium channel family protein	General	-0.7527	6.9698e-06	2.0115e-04	YES
MMAR_RS03160	MMAR_RS03160	PPE family protein	General	1.5019	7.3837e-06	2.1186e-04	YES
MMAR_RS02055	MMAR_RS02055	MCE family protein	General	-0.7325	1.1253e-05	3.2103e-04	NO
MMAR_RS08870	MMAR_RS08870	DEAD/DEAH box helicase	General	-1.3025	1.2935e-05	3.6481e-04	YES
MMAR_RS15500	MMAR_RS15500	PAC2 family protein	General	-1.3025	1.2935e-05	3.6481e-04	YES
MMAR_RS04755	rpmG	50S ribosomal protein L33	General	1.2510	1.4749e-05	4.1133e-04	YES
MMAR_RS14085	MMAR_RS14085	maleylpyruvate isomerase family mycothiol-dependent enzyme	General	1.2510	1.4749e-05	4.1133e-04	YES
MMAR_RS13655	MMAR_RS13655	zinc-binding alcohol dehydrogenase family protein	General	-1.5024	1.9873e-05	5.5112e-04	YES
MMAR_RS11800	MMAR_RS11800	type II toxin-antitoxin system Rv0910 family toxin	General	-1.4402	2.1042e-05	5.8029e-04	YES
MMAR_RS11560	rffA	dTDP-4-amino-4,6-dideoxygalactose transaminase	General	-1.0662	2.1246e-05	5.8267e-04	YES
MMAR_RS08660	MMAR_RS08660	vitamin K epoxide reductase family protein	General	-1.7831	2.6754e-05	7.2970e-04	YES
MMAR_RS23475	MMAR_RS23475	alpha-keto acid decarboxylase family protein	General	-1.6902	2.9385e-05	7.9709e-04	YES
MMAR_RS04215	MMAR_RS04215	acyltransferase family protein	General	-1.8427	3.0401e-05	8.2017e-04	YES
MMAR_RS17780	MMAR_RS17780	DUF732 domain-containing protein	General	1.4173	3.2075e-05	8.6066e-04	YES
MMAR_RS09405	MMAR_RS09405	carbohydrate ABC transporter permease	General	1.1949	3.6553e-05	9.7032e-04	YES
MMAR_RS26790	wzt	galactan export ABC transporter ATP-binding subunit Wzt/RfbE	General	1.1949	3.6553e-05	9.7032e-04	YES
MMAR_RS02600	fadD2	long-chain-fatty-acid--CoA ligase FadD2	General	-0.7304	3.7956e-05	1.0017e-03	NO
MMAR_RS05475	glmM	phosphoglucosamine mutase	General	-1.1050	3.8140e-05	1.0017e-03	YES
MMAR_RS16630	MMAR_RS16630	PucR family transcriptional regulator	General	-1.5157	4.1144e-05	1.0749e-03	YES
MMAR_RS08845	smc	chromosome segregation protein SMC	General	-0.7459	4.4540e-05	1.1576e-03	NO
MMAR_RS02340	MMAR_RS02340	glycosyltransferase family 4 protein	General	1.2575	4.4860e-05	1.1598e-03	YES
MMAR_RS12060	pyk	pyruvate kinase	General	0.7519	6.1359e-05	1.5782e-03	YES
MMAR_RS02520	MMAR_RS02520	succinate dehydrogenase subunit SdhC	General	-1.2907	7.8633e-05	2.0120e-03	YES
MMAR_RS04095	MMAR_RS04095	SDR family oxidoreductase	General	-1.1082	8.4659e-05	2.1441e-03	YES
MMAR_RS19805	MMAR_RS19805	DUF1906 domain-containing protein	General	-1.5583	8.4330e-05	2.1441e-03	YES
MMAR_RS06765	MMAR_RS06765	macrolide-binding ATPase MABP-1	General	0.8736	8.7406e-05	2.2025e-03	YES
MMAR_RS05225	MMAR_RS05225	class I SAM-dependent methyltransferase	General	1.3883	9.2543e-05	2.3201e-03	YES
MMAR_RS09815	MMAR_RS09815	Rv2732c family membrane protein	General	1.5257	9.3191e-05	2.3246e-03	YES
MMAR_RS21980	MMAR_RS21980	SGNH/GDSL hydrolase family protein	General	0.8411	1.3035e-04	3.2352e-03	YES
MMAR_RS04420	MMAR_RS04420	alpha/beta fold hydrolase	General	-1.6351	1.3826e-04	3.3893e-03	YES
MMAR_RS08430	MMAR_RS08430	ATP-dependent 6-phosphofructokinase	General	1.3339	1.3860e-04	3.3893e-03	YES
MMAR_RS11610	MMAR_RS11610	SDR family NAD(P)-dependent oxidoreductase	General	-1.6351	1.3826e-04	3.3893e-03	YES
MMAR_RS00715	MMAR_RS00715	DUF5313 domain-containing protein	General	-1.9128	1.5483e-04	3.7675e-03	YES
MMAR_RS03355	MMAR_RS03355	adenylosuccinate synthase	General	-1.3115	1.7051e-04	4.1288e-03	YES
MMAR_RS03970	MMAR_RS03970	LmeA family phospholipid-binding protein	General	-0.7124	1.7936e-04	4.3220e-03	NO
MMAR_RS05335	MMAR_RS05335	CoA-acylating methylmalonate-semialdehyde dehydrogenase	General	-1.2524	2.0098e-04	4.8195e-03	YES
MMAR_RS10970	rpoZ	DNA-directed RNA polymerase subunit omega	General	-0.7926	2.0445e-04	4.8793e-03	YES
MMAR_RS02290	MMAR_RS02290	WS/DGAT/MGAT family O-acyltransferase	General	-0.5734	2.1531e-04	5.1138e-03	NO
MMAR_RS26685	MMAR_RS26685	sensor histidine kinase	General	1.4324	2.4878e-04	5.8807e-03	YES
MMAR_RS01600	treS	maltose alpha-D-glucosyltransferase	General	0.7194	2.5023e-04	5.8869e-03	NO
MMAR_RS16125	ripC	peptidoglycan hydrolase RipC	General	-0.8450	2.7808e-04	6.5113e-03	YES
MMAR_RS01135	MMAR_RS01135	DUF8832 domain-containing protein	General	0.6557	2.9564e-04	6.8898e-03	NO
MMAR_RS21615	MMAR_RS21615	PPE family protein	General	0.5122	3.0908e-04	7.1695e-03	NO
MMAR_RS28025	MMAR_RS28025	DUF2613 domain-containing protein	General	0.8649	3.2055e-04	7.3328e-03	YES
MMAR_RS03240	MMAR_RS03240	FAD binding domain-containing protein	General	0.8649	3.2055e-04	7.3328e-03	YES
MMAR_RS08015	MMAR_RS08015	hypothetical protein	General	0.8649	3.2055e-04	7.3328e-03	YES
MMAR_RS16425	glnA	type I glutamate--ammonia ligase	General	-0.5392	3.2712e-04	7.4487e-03	NO
MMAR_RS14175	MMAR_RS14175	alpha-L-fucosidase	General	-0.9611	3.3893e-04	7.6561e-03	YES
MMAR_RS23250	MMAR_RS23250	phytoene desaturase family protein	General	-0.9761	3.3931e-04	7.6561e-03	YES
MMAR_RS04955	MMAR_RS04955	MMPL/RND family transporter	General	1.7059	3.8749e-04	8.7037e-03	YES
MMAR_RS28000	mymT	copper-binding metallothionein MymT	General	1.1931	4.2508e-04	9.5050e-03	YES
MMAR_RS05810	MMAR_RS05810	FHA domain-containing protein	General	-0.7386	4.8996e-04	1.0858e-02	NO
MMAR_RS15350	MMAR_RS15350	DEAD/DEAH box helicase	General	-1.5588	4.8982e-04	1.0858e-02	YES
MMAR_RS18215	MMAR_RS18215	phospholipase C	General	-1.6350	5.1490e-04	1.1360e-02	YES
MMAR_RS24605	MMAR_RS24605	DUF2334 domain-containing protein	General	-1.6289	5.3844e-04	1.1827e-02	YES
MMAR_RS18725	MMAR_RS18725	adenylate/guanylate cyclase domain-containing protein	General	1.5287	5.4180e-04	1.1848e-02	YES
MMAR_RS17250	MMAR_RS17250	acyl-CoA dehydrogenase family protein	General	1.3885	5.9186e-04	1.2886e-02	YES
MMAR_RS24985	MMAR_RS24985	Rv1363c family protein	General	0.9478	6.0600e-04	1.3136e-02	YES
MMAR_RS05590	MMAR_RS05590	amidohydrolase	General	1.0095	8.2262e-04	1.7703e-02	YES
MMAR_RS06180	MMAR_RS06180	RNA polymerase sigma factor SigF	General	1.6091	8.2382e-04	1.7703e-02	YES
MMAR_RS11860	MMAR_RS11860	acetyltransferase SucT	General	2.4930	1.0531e-03	2.2532e-02	YES
MMAR_RS06355	MMAR_RS06355	metallopeptidase family protein	General	-1.1457	1.0773e-03	2.2952e-02	YES
