gene_id	gene_symbol	description	category	log2FoldChange	pvalue	padj	significant
MMAR_RS00410	MMAR_RS00410	DUF3297 family protein	General	7.0864	1.0000e-15	3.5712e-14	YES
MMAR_RS00475	MMAR_RS00475	DHA2 family efflux MFS transporter permease subunit	General	6.4275	1.0000e-15	3.5712e-14	YES
MMAR_RS00545	MMAR_RS00545	TetR/AcrR family transcriptional regulator	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS00775	MMAR_RS00775	acyl-CoA dehydrogenase family protein	General	5.9642	1.0000e-15	3.5712e-14	YES
MMAR_RS00795	MMAR_RS00795	mannan-binding lectin	General	6.2057	1.0000e-15	3.5712e-14	YES
MMAR_RS00990	espB	EspB family ESX-1 secretion system-associated protein	General	-5.8807	1.0000e-15	3.5712e-14	YES
MMAR_RS01570	MMAR_RS01570	FadD7 family fatty acid--CoA ligase	General	-6.5452	1.0000e-15	3.5712e-14	YES
MMAR_RS01680	MMAR_RS01680	sulfotransferase family protein	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS01865	MMAR_RS01865	NAD(P) transhydrogenase subunit alpha part 2	General	5.4424	1.0000e-15	3.5712e-14	YES
MMAR_RS02085	MMAR_RS02085	YhgE/Pip domain-containing protein	General	-2.4830	1.0000e-15	3.5712e-14	YES
MMAR_RS02240	MMAR_RS02240	enoyl-CoA hydratase/isomerase family protein	General	6.0990	1.0000e-15	3.5712e-14	YES
MMAR_RS02330	MMAR_RS02330	aldehyde dehydrogenase	General	7.9119	1.0000e-15	3.5712e-14	YES
MMAR_RS02625	MMAR_RS02625	TetR/AcrR family transcriptional regulator	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS02730	bluB	5,6-dimethylbenzimidazole synthase	General	-5.5607	1.0000e-15	3.5712e-14	YES
MMAR_RS02770	MMAR_RS02770	DUF7159 family protein	General	6.6204	1.0000e-15	3.5712e-14	YES
MMAR_RS02895	MMAR_RS02895	SDR family oxidoreductase	General	5.7705	1.0000e-15	3.5712e-14	YES
MMAR_RS03210	pyrE	orotate phosphoribosyltransferase	General	6.4256	1.0000e-15	3.5712e-14	YES
