gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS16900	MMAR_RS16900	MEblue	Lipid & Fatty Acid Metabolic Process	12.175	4.192	serine hydrolase domain-containing protein
MMAR_RS07760	MMAR_RS07760	MEturquoise	Cell Surface & Biofilm Organization	20.089	18.804	patatin-like phospholipase family protein
MMAR_RS04220	MMAR_RS04220	MEturquoise	Cell Surface & Biofilm Organization	12.955	9.985	alpha/beta hydrolase
MMAR_RS10170	MMAR_RS10170	MEturquoise	Cell Surface & Biofilm Organization	9.928	4.612	DUF732 domain-containing protein
MMAR_RS04270	MMAR_RS04270	MEblue	Lipid & Fatty Acid Metabolic Process	10.087	7.16	APC family permease
MMAR_RS22450	MMAR_RS22450	MEbrown	Transmembrane Transport & Secretion	13.297	8.235	TatD family hydrolase
MMAR_RS17595	MMAR_RS17595	MEbrown	Transmembrane Transport & Secretion	11.136	7.926	zinc-dependent alcohol dehydrogenase
MMAR_RS23265	pdxH	MEgreen	Cellular Respiration & Shear Adaptation	8.71	6.017	pyridoxamine 5'-phosphate oxidase
MMAR_RS05140	rpsQ	MEbrown	Transmembrane Transport & Secretion	16.885	5.524	30S ribosomal protein S17
MMAR_RS18395	MMAR_RS18395	MEgreen	Cellular Respiration & Shear Adaptation	6.847	2.555	non-ribosomal peptide synthetase
MMAR_RS16730	MMAR_RS16730	MEbrown	Transmembrane Transport & Secretion	12.462	10.821	SDR family oxidoreductase
MMAR_RS13930	MMAR_RS13930	MEyellow	Response to Stress & Redox Homeostasis	9.666	6.257	macro domain-containing protein
MMAR_RS01105	MMAR_RS01105	MEbrown	Transmembrane Transport & Secretion	16.842	3.569	TetR/AcrR family transcriptional regulator
MMAR_RS21840	MMAR_RS21840	MEturquoise	Cell Surface & Biofilm Organization	9.698	7.334	carboxylesterase/lipase family protein
MMAR_RS22020	MMAR_RS22020	MEbrown	Transmembrane Transport & Secretion	12.415	9.005	rhodanese-like domain-containing protein
MMAR_RS25100	MMAR_RS25100	MEblue	Lipid & Fatty Acid Metabolic Process	22.223	14.585	acetoacetate decarboxylase family protein
MMAR_RS16600	MMAR_RS16600	MEbrown	Transmembrane Transport & Secretion	10.197	4.365	WS/DGAT/MGAT family O-acyltransferase
MMAR_RS01425	rpsN	MEyellow	Response to Stress & Redox Homeostasis	7.871	1.496	30S ribosomal protein S14
MMAR_RS13005	MMAR_RS13005	MEbrown	Transmembrane Transport & Secretion	12.595	7.295	molybdopterin-dependent oxidoreductase
MMAR_RS07810	MMAR_RS07810	MEgreen	Cellular Respiration & Shear Adaptation	13.814	5.238	DUF3556 domain-containing protein
MMAR_RS25395	hsaC	MEturquoise	Cell Surface & Biofilm Organization	22.908	17.355	iron-dependent extradiol dioxygenase HsaC
MMAR_RS22195	MMAR_RS22195	MEbrown	Transmembrane Transport & Secretion	12.6	8.335	DUF3419 family protein
MMAR_RS25355	MMAR_RS25355	MEblue	Lipid & Fatty Acid Metabolic Process	18.406	13.438	arylamine N-acetyltransferase family protein
MMAR_RS26135	glpK	MEblue	Lipid & Fatty Acid Metabolic Process	10.298	7.75	glycerol kinase GlpK
MMAR_RS20785	MMAR_RS20785	MEgreen	Cellular Respiration & Shear Adaptation	19.675	10.288	LppX_LprAFG lipoprotein
MMAR_RS02800	MMAR_RS02800	MEblue	Lipid & Fatty Acid Metabolic Process	16.4	6.48	bifunctional phosphatase PAP2/diacylglycerol kinase family protein
MMAR_RS05345	rfbC	MEblue	Lipid & Fatty Acid Metabolic Process	18.071	13.537	dTDP-4-dehydrorhamnose 3,5-epimerase
MMAR_RS03550	thiG	MEturquoise	Cell Surface & Biofilm Organization	12.902	11.97	thiazole synthase
MMAR_RS04960	MMAR_RS04960	MEturquoise	Cell Surface & Biofilm Organization	20.342	12.682	MmpS family transport accessory protein
MMAR_RS21790	ychF	MEbrown	Transmembrane Transport & Secretion	11.995	9.011	redox-regulated ATPase YchF
MMAR_RS22155	MMAR_RS22155	MEturquoise	Cell Surface & Biofilm Organization	14.121	11.04	AraC-like ligand-binding domain-containing protein
MMAR_RS05920	MMAR_RS05920	MEyellow	Response to Stress & Redox Homeostasis	6.414	2.488	sigma-70 family RNA polymerase sigma factor
