gene_id	gene_symbol	module	goslim_name	k_total	k_within	protein
MMAR_RS25235	MMAR_RS25235	MEbrown	Transmembrane Transport & Secretion	7.805	5.23	acyl-CoA dehydrogenase family protein
MMAR_RS21530	MMAR_RS21530	MEturquoise	Cell Surface & Biofilm Organization	13.101	9.742	class I SAM-dependent methyltransferase
MMAR_RS02850	MMAR_RS02850	MEturquoise	Cell Surface & Biofilm Organization	19.185	15.479	SDR family NAD(P)-dependent oxidoreductase
MMAR_RS13230	MMAR_RS13230	MEbrown	Transmembrane Transport & Secretion	11.946	8.99	PPE family protein
MMAR_RS10110	hemE	MEyellow	Response to Stress & Redox Homeostasis	13.7	2.218	uroporphyrinogen decarboxylase
MMAR_RS03600	MMAR_RS03600	MEbrown	Transmembrane Transport & Secretion	12.247	8.72	hypothetical protein
MMAR_RS12305	argF	MEturquoise	Cell Surface & Biofilm Organization	27.934	26.47	ornithine carbamoyltransferase
MMAR_RS16530	MMAR_RS16530	MEgreen	Cellular Respiration & Shear Adaptation	14.459	6.493	IS1380-like element ISMyma7 family transposase
MMAR_RS23800	MMAR_RS23800	MEbrown	Transmembrane Transport & Secretion	12.845	10.607	acyl-CoA dehydrogenase family protein
MMAR_RS25755	MMAR_RS25755	MEgreen	Cellular Respiration & Shear Adaptation	7.132	2.585	hypothetical protein
MMAR_RS18075	MMAR_RS18075	MEturquoise	Cell Surface & Biofilm Organization	12.024	11.237	esterase-like activity of phytase family protein
MMAR_RS01420	rpsR	MEturquoise	Cell Surface & Biofilm Organization	15.339	8.752	30S ribosomal protein S18
MMAR_RS20155	fabG	MEturquoise	Cell Surface & Biofilm Organization	26.382	21.856	3-oxoacyl-ACP reductase FabG
MMAR_RS06530	rsgA	MEturquoise	Cell Surface & Biofilm Organization	9.872	7.375	ribosome small subunit-dependent GTPase A
MMAR_RS13720	MMAR_RS13720	MEturquoise	Cell Surface & Biofilm Organization	25.392	22.024	alpha-hydroxy acid oxidase
MMAR_RS19755	MMAR_RS19755	MEturquoise	Cell Surface & Biofilm Organization	14.502	6.53	lysophospholipid acyltransferase family protein
MMAR_RS22855	MMAR_RS22855	MEturquoise	Cell Surface & Biofilm Organization	14.066	7.092	PE family protein
MMAR_RS17090	MMAR_RS17090	MEbrown	Transmembrane Transport & Secretion	11.753	9.013	alpha/beta hydrolase family protein
MMAR_RS17665	MMAR_RS17665	MEbrown	Transmembrane Transport & Secretion	7.505	4.743	MerR family transcriptional regulator
MMAR_RS31135	MMAR_RS31135	MEbrown	Transmembrane Transport & Secretion	12.904	9.549	DUF6893 family small protein
MMAR_RS01930	MMAR_RS01930	MEturquoise	Cell Surface & Biofilm Organization	29.57	24.615	acyl-CoA thioesterase
MMAR_RS14905	MMAR_RS14905	MEturquoise	Cell Surface & Biofilm Organization	19.272	14.642	VOC family protein
MMAR_RS14065	MMAR_RS14065	MEyellow	Response to Stress & Redox Homeostasis	12.475	4.167	SRPBCC family protein
MMAR_RS22220	MMAR_RS22220	MEturquoise	Cell Surface & Biofilm Organization	19.228	17.441	hypothetical protein
MMAR_RS01445	MMAR_RS01445	MEturquoise	Cell Surface & Biofilm Organization	7.622	5.469	type B 50S ribosomal protein L31
MMAR_RS02855	MMAR_RS02855	MEyellow	Response to Stress & Redox Homeostasis	14.186	4.326	HAD-IA family hydrolase
MMAR_RS25225	MMAR_RS25225	MEturquoise	Cell Surface & Biofilm Organization	8.662	6.151	bifunctional MaoC family dehydratase N-terminal/OB-fold nucleic acid binding domain-containing protein
MMAR_RS06105	MMAR_RS06105	MEturquoise	Cell Surface & Biofilm Organization	16.886	15.45	arylsulfatase
MMAR_RS07770	MMAR_RS07770	MEturquoise	Cell Surface & Biofilm Organization	14.408	13.695	protein adenylyltransferase SelO
MMAR_RS24735	MMAR_RS24735	MEturquoise	Cell Surface & Biofilm Organization	34.336	32.591	cytochrome P450
MMAR_RS25045	MMAR_RS25045	MEturquoise	Cell Surface & Biofilm Organization	23.514	18.134	acyl-CoA dehydrogenase family protein
MMAR_RS04050	MMAR_RS04050	MEblue	Lipid & Fatty Acid Metabolic Process	7.372	2.635	tocopherol cyclase family protein
MMAR_RS08160	MMAR_RS08160	MEgreen	Cellular Respiration & Shear Adaptation	6.354	2.307	iron-siderophore ABC transporter substrate-binding protein
MMAR_RS07320	MMAR_RS07320	MEturquoise	Cell Surface & Biofilm Organization	15.145	13.252	NADH-quinone oxidoreductase subunit C
MMAR_RS14800	MMAR_RS14800	MEbrown	Transmembrane Transport & Secretion	16.264	5.749	DHA2 family efflux MFS transporter permease subunit
MMAR_RS07920	MMAR_RS07920	MEblue	Lipid & Fatty Acid Metabolic Process	15.642	11.904	DUF732 domain-containing protein
MMAR_RS17740	MMAR_RS17740	MEturquoise	Cell Surface & Biofilm Organization	13.293	10.529	LLM class F420-dependent oxidoreductase
MMAR_RS05205	rpmD	MEgreen	Cellular Respiration & Shear Adaptation	19.984	10.797	50S ribosomal protein L30
MMAR_RS21265	MMAR_RS21265	MEturquoise	Cell Surface & Biofilm Organization	15.458	8.793	aldehyde dehydrogenase family protein
MMAR_RS00410	MMAR_RS00410	MEblue	Lipid & Fatty Acid Metabolic Process	22.792	13.057	DUF3297 family protein
MMAR_RS17760	arr	MEturquoise	Cell Surface & Biofilm Organization	8.232	5.434	NAD(+)--rifampin ADP-ribosyltransferase
MMAR_RS07390	MMAR_RS07390	MEturquoise	Cell Surface & Biofilm Organization	23.975	18.948	alpha/beta hydrolase
MMAR_RS02885	MMAR_RS02885	MEturquoise	Cell Surface & Biofilm Organization	12.002	8.438	Fic family protein
MMAR_RS20635	MMAR_RS20635	MEturquoise	Cell Surface & Biofilm Organization	12.112	6.55	DUF2254 domain-containing protein
MMAR_RS03855	MMAR_RS03855	MEgreen	Cellular Respiration & Shear Adaptation	14.429	7.367	DUF779 domain-containing protein
MMAR_RS27145	dinB	MEturquoise	Cell Surface & Biofilm Organization	26.311	17.999	DNA polymerase IV
MMAR_RS01415	MMAR_RS01415	MEturquoise	Cell Surface & Biofilm Organization	16.163	14.091	oxygenase MpaB family protein
MMAR_RS00795	MMAR_RS00795	MEblue	Lipid & Fatty Acid Metabolic Process	18.168	11.847	mannan-binding lectin
MMAR_RS14930	MMAR_RS14930	MEturquoise	Cell Surface & Biofilm Organization	20.746	17.35	MerR family transcriptional regulator
MMAR_RS22395	arsC	MEgreen	Cellular Respiration & Shear Adaptation	8.513	5.857	arsenate reductase (glutaredoxin)
MMAR_RS02860	MMAR_RS02860	MEgreen	Cellular Respiration & Shear Adaptation	6.658	2.36	ROK family protein
MMAR_RS10710	MMAR_RS10710	MEturquoise	Cell Surface & Biofilm Organization	16.547	13.279	Rv2576c family protein
MMAR_RS20600	MMAR_RS20600	MEturquoise	Cell Surface & Biofilm Organization	12.99	10.434	TetR/AcrR family transcriptional regulator
MMAR_RS26760	MMAR_RS26760	MEturquoise	Cell Surface & Biofilm Organization	14.087	10.419	PPE family protein
MMAR_RS24640	adhP	MEblue	Lipid & Fatty Acid Metabolic Process	7.705	4.473	alcohol dehydrogenase AdhP
MMAR_RS26515	MMAR_RS26515	MEturquoise	Cell Surface & Biofilm Organization	14.658	11.15	M1 family metallopeptidase
MMAR_RS13120	MMAR_RS13120	MEturquoise	Cell Surface & Biofilm Organization	34.057	32.883	Gfo/Idh/MocA family protein
MMAR_RS13780	MMAR_RS13780	MEturquoise	Cell Surface & Biofilm Organization	10.374	4.944	amidohydrolase family protein
MMAR_RS12775	MMAR_RS12775	MEblue	Lipid & Fatty Acid Metabolic Process	29.535	12.938	LLM class flavin-dependent oxidoreductase
MMAR_RS25025	MMAR_RS25025	MEturquoise	Cell Surface & Biofilm Organization	9.117	6.906	MlaE family ABC transporter permease
MMAR_RS20895	MMAR_RS20895	MEbrown	Transmembrane Transport & Secretion	7.159	1.607	ATP-binding transcription factor AbmR
MMAR_RS17550	MMAR_RS17550	MEblue	Lipid & Fatty Acid Metabolic Process	18.692	14.148	aldo/keto reductase
MMAR_RS19140	lipQ	MEturquoise	Cell Surface & Biofilm Organization	12.599	11.68	esterase LipQ
MMAR_RS09710	MMAR_RS09710	MEturquoise	Cell Surface & Biofilm Organization	10.969	7.471	class I SAM-dependent DNA methyltransferase
MMAR_RS16365	MMAR_RS16365	MEgreen	Cellular Respiration & Shear Adaptation	8.568	5.949	DUF1622 domain-containing protein
MMAR_RS22890	MMAR_RS22890	MEblue	Lipid & Fatty Acid Metabolic Process	27.463	12.66	LLM class flavin-dependent oxidoreductase
MMAR_RS02845	MMAR_RS02845	MEturquoise	Cell Surface & Biofilm Organization	22.784	19.903	sedoheptulose 7-phosphate cyclase
MMAR_RS01905	MMAR_RS01905	MEgreen	Cellular Respiration & Shear Adaptation	6.901	5.413	glucose 1-dehydrogenase
MMAR_RS19810	MMAR_RS19810	MEgreen	Cellular Respiration & Shear Adaptation	15.29	8.04	SRPBCC family protein
MMAR_RS11840	MMAR_RS11840	MEturquoise	Cell Surface & Biofilm Organization	17.794	15.384	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme
MMAR_RS18305	MMAR_RS18305	MEblue	Lipid & Fatty Acid Metabolic Process	14.182	3.566	amidase
MMAR_RS17095	MMAR_RS17095	MEturquoise	Cell Surface & Biofilm Organization	31.311	26.843	1-acyl-sn-glycerol-3-phosphate acyltransferase
MMAR_RS11045	ribD	MEturquoise	Cell Surface & Biofilm Organization	16.379	15.037	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD
MMAR_RS14560	MMAR_RS14560	MEbrown	Transmembrane Transport & Secretion	9.889	7.501	cyclopropane mycolic acid synthase family methyltransferase
MMAR_RS26115	MMAR_RS26115	MEturquoise	Cell Surface & Biofilm Organization	6.646	3.394	stage II sporulation protein M
MMAR_RS21575	MMAR_RS21575	MEblue	Lipid & Fatty Acid Metabolic Process	10.226	7.115	type III polyketide synthase
MMAR_RS16320	MMAR_RS16320	MEbrown	Transmembrane Transport & Secretion	14.632	5.973	acyl carrier protein
MMAR_RS12590	MMAR_RS12590	MEyellow	Response to Stress & Redox Homeostasis	5.553	1.175	ParA family protein
MMAR_RS02935	pcp	MEbrown	Transmembrane Transport & Secretion	7.336	5.691	pyroglutamyl-peptidase I
MMAR_RS26845	MMAR_RS26845	MEblue	Lipid & Fatty Acid Metabolic Process	12.416	3.81	peptidoglycan DD-metalloendopeptidase family protein
MMAR_RS08635	MMAR_RS08635	MEyellow	Response to Stress & Redox Homeostasis	12.199	2.65	HNH endonuclease family protein
MMAR_RS12940	MMAR_RS12940	MEbrown	Transmembrane Transport & Secretion	22.663	5.071	SDR family NAD(P)-dependent oxidoreductase
MMAR_RS02620	MMAR_RS02620	MEturquoise	Cell Surface & Biofilm Organization	29.012	23.974	alpha/beta hydrolase
MMAR_RS30990	MMAR_RS30990	MEturquoise	Cell Surface & Biofilm Organization	14.051	10.966	PE family protein
MMAR_RS02840	MMAR_RS02840	MEturquoise	Cell Surface & Biofilm Organization	13.968	11.968	MFS transporter
MMAR_RS26820	MMAR_RS26820	MEturquoise	Cell Surface & Biofilm Organization	13.107	9.138	VOC family protein
MMAR_RS31040	MMAR_RS31040	MEturquoise	Cell Surface & Biofilm Organization	23.655	19.339	PE family protein
MMAR_RS08185	MMAR_RS08185	MEbrown	Transmembrane Transport & Secretion	14.802	5.219	proton-conducting transporter transmembrane domain-containing protein
MMAR_RS11130	MMAR_RS11130	MEbrown	Transmembrane Transport & Secretion	4.179	2.326	PE family protein
MMAR_RS23350	MMAR_RS23350	MEgreen	Cellular Respiration & Shear Adaptation	8.72	6.023	glutathione S-transferase family protein
MMAR_RS18090	MMAR_RS18090	MEturquoise	Cell Surface & Biofilm Organization	24.23	23.554	tryptophan halogenase family protein
MMAR_RS00020	recF	MEbrown	Transmembrane Transport & Secretion	5.356	0.983	DNA replication/repair protein RecF
MMAR_RS10815	mltG	MEturquoise	Cell Surface & Biofilm Organization	19.215	18.199	endolytic transglycosylase MltG
MMAR_RS08315	MMAR_RS08315	MEturquoise	Cell Surface & Biofilm Organization	10.307	6.809	glycosyltransferase family 4 protein
MMAR_RS05965	MMAR_RS05965	MEblue	Lipid & Fatty Acid Metabolic Process	17.603	13.818	thymidine phosphorylase
MMAR_RS01925	MMAR_RS01925	MEblue	Lipid & Fatty Acid Metabolic Process	13.649	3.94	SMP-30/gluconolactonase/LRE family protein
MMAR_RS18470	MMAR_RS18470	MEturquoise	Cell Surface & Biofilm Organization	23.98	23.096	salicylate synthase
MMAR_RS25325	ipdE1	MEbrown	Transmembrane Transport & Secretion	13.363	6.081	acyl-CoA dehydrogenase IpdE1
MMAR_RS17645	MMAR_RS17645	MEbrown	Transmembrane Transport & Secretion	7.003	4.514	hypothetical protein
MMAR_RS10750	MMAR_RS10750	MEturquoise	Cell Surface & Biofilm Organization	18.345	13.386	nitroreductase family deazaflavin-dependent oxidoreductase
MMAR_RS09240	MMAR_RS09240	MEturquoise	Cell Surface & Biofilm Organization	11.809	9.947	DUF6084 family protein
MMAR_RS19975	MMAR_RS19975	MEbrown	Transmembrane Transport & Secretion	12.48	9.566	cytochrome P450
MMAR_RS21535	MMAR_RS21535	MEyellow	Response to Stress & Redox Homeostasis	11.586	3.941	TetR/AcrR family transcriptional regulator
MMAR_RS14010	MMAR_RS14010	MEturquoise	Cell Surface & Biofilm Organization	23.378	11.548	phytoene desaturase family protein
MMAR_RS07685	MMAR_RS07685	MEgreen	Cellular Respiration & Shear Adaptation	18.858	7.645	acyl-CoA dehydrogenase family protein
MMAR_RS22755	MMAR_RS22755	MEturquoise	Cell Surface & Biofilm Organization	9.116	4.616	sigma 54-interacting transcriptional regulator
MMAR_RS12440	MMAR_RS12440	MEblue	Lipid & Fatty Acid Metabolic Process	10.355	6.593	PE family protein
MMAR_RS26365	MMAR_RS26365	MEturquoise	Cell Surface & Biofilm Organization	21.171	15.289	PPOX class F420-dependent oxidoreductase
MMAR_RS24725	MMAR_RS24725	MEturquoise	Cell Surface & Biofilm Organization	11.811	8.881	aldehyde dehydrogenase
MMAR_RS07330	MMAR_RS07330	MEblue	Lipid & Fatty Acid Metabolic Process	6.913	2.747	NADH-quinone oxidoreductase subunit A
MMAR_RS09415	MMAR_RS09415	MEbrown	Transmembrane Transport & Secretion	9.027	5.657	ABC transporter ATP-binding protein
MMAR_RS03670	MMAR_RS03670	MEyellow	Response to Stress & Redox Homeostasis	6.224	1.977	peptide deformylase
MMAR_RS12300	MMAR_RS12300	MEturquoise	Cell Surface & Biofilm Organization	15.667	14.324	acetylornithine transaminase
MMAR_RS15155	cobN	MEgreen	Cellular Respiration & Shear Adaptation	13.651	2.438	cobaltochelatase subunit CobN
MMAR_RS06340	MMAR_RS06340	MEturquoise	Cell Surface & Biofilm Organization	8.155	4.289	coenzyme F420-0:L-glutamate ligase
MMAR_RS22675	MMAR_RS22675	MEturquoise	Cell Surface & Biofilm Organization	24.494	14.041	SAF domain-containing protein
MMAR_RS00810	MMAR_RS00810	MEturquoise	Cell Surface & Biofilm Organization	25.464	20.26	GNAT family N-acetyltransferase
MMAR_RS25990	MMAR_RS25990	MEgreen	Cellular Respiration & Shear Adaptation	19.162	10.906	DUF6328 family protein
MMAR_RS13275	MMAR_RS13275	MEturquoise	Cell Surface & Biofilm Organization	13.875	12.331	hypothetical protein
MMAR_RS01065	MMAR_RS01065	MEbrown	Transmembrane Transport & Secretion	7.6	5.539	acyltransferase family protein
MMAR_RS05530	alr	MEgreen	Cellular Respiration & Shear Adaptation	13.72	7.288	alanine racemase
MMAR_RS21560	MMAR_RS21560	MEturquoise	Cell Surface & Biofilm Organization	37.115	35.032	NAD(P)H-binding protein
MMAR_RS17570	MMAR_RS17570	MEbrown	Transmembrane Transport & Secretion	14.318	9.782	multidrug effflux MFS transporter
MMAR_RS27390	MMAR_RS27390	MEbrown	Transmembrane Transport & Secretion	11.751	3.765	EspA/EspE family type VII secretion system effector
MMAR_RS22915	MMAR_RS22915	MEyellow	Response to Stress & Redox Homeostasis	15.253	3.8	ATP-dependent DNA ligase
MMAR_RS04470	menJ	MEturquoise	Cell Surface & Biofilm Organization	35.17	33.829	menaquinone reductase MenJ
MMAR_RS17545	MMAR_RS17545	MEturquoise	Cell Surface & Biofilm Organization	13.186	9.755	TetR/AcrR family transcriptional regulator
MMAR_RS13990	MMAR_RS13990	MEyellow	Response to Stress & Redox Homeostasis	10.089	6.109	TetR/AcrR family transcriptional regulator
MMAR_RS09865	MMAR_RS09865	MEturquoise	Cell Surface & Biofilm Organization	35.257	33.576	TerC/Alx family metal homeostasis membrane protein
MMAR_RS10345	fdxA	MEturquoise	Cell Surface & Biofilm Organization	33.9	32.219	ferredoxin
MMAR_RS18500	MMAR_RS18500	MEblue	Lipid & Fatty Acid Metabolic Process	10.988	4.647	sirohydrochlorin chelatase
MMAR_RS28070	MMAR_RS28070	MEgreen	Cellular Respiration & Shear Adaptation	19.652	10.847	30S ribosomal protein bS22
MMAR_RS17325	MMAR_RS17325	MEyellow	Response to Stress & Redox Homeostasis	6.842	0.903	Acg family FMN-binding oxidoreductase
MMAR_RS21485	MMAR_RS21485	MEturquoise	Cell Surface & Biofilm Organization	13.452	12.535	hypothetical protein
MMAR_RS17730	MMAR_RS17730	MEyellow	Response to Stress & Redox Homeostasis	3.876	2.78	Lrp/AsnC family transcriptional regulator
MMAR_RS21475	MMAR_RS21475	MEblue	Lipid & Fatty Acid Metabolic Process	25.669	13.79	4a-hydroxytetrahydrobiopterin dehydratase
MMAR_RS03230	MMAR_RS03230	MEgreen	Cellular Respiration & Shear Adaptation	15.049	7.722	LysR family transcriptional regulator
MMAR_RS20320	MMAR_RS20320	MEturquoise	Cell Surface & Biofilm Organization	11.039	8.917	M67 family metallopeptidase
MMAR_RS08605	MMAR_RS08605	MEblue	Lipid & Fatty Acid Metabolic Process	8.278	6.806	uracil-DNA glycosylase
