gene_id	gene_symbol	RFP3D11	RFP3D39	RFP3D47	RFPNG14	RFPNG35	RFPNG45	RFPRPM4	RFPRPM41	RFPRPM6	protein
MMAR_RS28310	MMAR_RS28310	8.6052	7.5999	6.5072	6.4969	5.1566	5.7827	6.3965	6.3965	8.8330	prolipoprotein diacylglyceryl transferase
MMAR_RS12045	MMAR_RS12045	6.7406	8.5962	8.6647	8.3597	6.9348	9.0808	8.1916	8.1916	7.4232	NINE protein
MMAR_RS12050	MMAR_RS12050	7.1522	6.6074	7.4992	0.0000	6.4540	5.7827	7.7082	7.7082	7.4232	DUF2752 domain-containing protein
MMAR_RS12055	MMAR_RS12055	8.1471	8.5962	10.0775	7.7102	6.4540	7.7629	9.0824	9.0824	8.6408	cutinase family protein
MMAR_RS12060	pyk	9.1446	9.2952	9.0789	7.9020	7.2947	8.5674	8.5531	8.5531	8.1568	pyruvate kinase
MMAR_RS12065	MMAR_RS12065	8.3165	7.5999	7.0868	6.9080	5.1566	8.0835	6.9758	6.9758	6.8425	acyl-CoA thioesterase II
MMAR_RS12070	MMAR_RS12070	7.7338	7.5999	8.0815	6.4969	5.1566	8.0835	7.3880	7.3880	8.4190	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF
MMAR_RS12075	cydC	6.7406	8.5962	7.4992	4.9436	4.1965	5.7827	6.9758	6.9758	6.8425	thiol reductant ABC exporter subunit CydC
MMAR_RS12080	cydD	7.1522	8.4041	8.0815	0.0000	5.1566	0.0000	8.3836	8.3836	0.0000	thiol reductant ABC exporter subunit CydD
MMAR_RS12085	cydB	9.5363	10.2941	10.4922	8.7067	9.3273	7.7629	10.0246	10.0246	9.6390	cytochrome d ubiquinol oxidase subunit II
MMAR_RS12090	MMAR_RS12090	11.2087	10.9508	11.9994	11.1819	11.0111	11.8859	11.2128	11.2128	10.5857	cytochrome ubiquinol oxidase subunit I
MMAR_RS12095	MMAR_RS12095	7.1522	8.9174	8.9536	7.9020	8.2079	8.5674	8.1916	8.1916	9.1543	HdeD family acid-resistance protein
MMAR_RS12100	MMAR_RS12100	8.4680	8.1824	9.0789	8.4849	6.7143	8.3457	9.5512	9.5512	8.6408	adenylate/guanylate cyclase domain-containing protein
MMAR_RS12110	MMAR_RS12110	7.7338	6.6074	7.4992	5.9199	5.7280	5.7827	5.4136	5.4136	7.8362	ANTAR domain-containing response regulator
MMAR_RS12115	MMAR_RS12115	0.0000	5.6221	0.0000	4.9436	5.1566	5.7827	6.3965	6.3965	5.8550	lipid-transfer protein
MMAR_RS12120	MMAR_RS12120	5.1823	0.0000	0.0000	6.9080	6.4540	6.7695	0.0000	0.0000	0.0000	Zn-ribbon domain-containing OB-fold protein
MMAR_RS12125	polA	8.3165	8.7657	7.8195	7.2275	7.5825	7.3501	8.5531	8.5531	7.8362	DNA polymerase I
MMAR_RS12130	rpsA	11.7274	11.8217	11.8135	10.7297	10.3455	10.4577	12.0801	12.0801	11.8746	30S ribosomal protein S1
MMAR_RS12135	coaE	8.8456	8.7657	8.9536	6.4969	8.5118	9.4587	9.7030	9.7030	9.0026	dephospho-CoA kinase
MMAR_RS12140	MMAR_RS12140	5.1823	5.6221	8.0815	6.9080	6.1362	9.0808	6.3965	6.3965	7.8362	DNA polymerase ligase N-terminal domain-containing protein
MMAR_RS12145	MMAR_RS12145	6.7406	0.0000	5.5229	4.9436	6.1362	0.0000	6.3965	6.3965	0.0000	ribonuclease FAU-1 family protein
MMAR_RS12150	uvrB	8.4680	9.2952	9.8147	9.2203	8.8735	9.2181	9.1891	9.1891	9.0026	excinuclease ABC subunit UvrB
MMAR_RS12155	MMAR_RS12155	6.7406	5.6221	6.5072	6.9080	6.7143	7.7629	5.4136	5.4136	7.8362	MFS transporter
MMAR_RS12160	MMAR_RS12160	6.7406	6.6074	5.5229	7.2275	0.0000	6.7695	5.4136	5.4136	7.4232	mannosyltransferase
MMAR_RS12165	MMAR_RS12165	10.1433	8.7657	10.6620	10.2894	10.8578	10.1498	9.6291	9.6291	10.1530	universal stress protein
MMAR_RS12170	MMAR_RS12170	9.3142	9.8420	10.2473	9.0685	8.2079	10.6640	9.4688	9.4688	9.9188	nuclear transport factor 2 family protein
MMAR_RS12175	MMAR_RS12175	7.1522	6.6074	6.5072	7.2275	6.4540	7.7629	7.3880	7.3880	6.8425	MBL fold metallo-hydrolase
MMAR_RS12180	uvrA	10.0503	9.1799	8.9536	10.5973	10.6243	9.6649	9.0824	9.0824	9.4169	excinuclease ABC subunit UvrA
MMAR_RS12185	MMAR_RS12185	5.1823	8.1824	5.5229	7.4889	5.1566	7.3501	7.3880	7.3880	5.8550	serine/threonine-protein kinase PknH/PknJ
MMAR_RS12190	MMAR_RS12190	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.4136	5.4136	0.0000	hypothetical protein
MMAR_RS12195	MMAR_RS12195	6.7406	0.0000	5.5229	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	alpha/beta hydrolase
MMAR_RS12200	lysX	8.3165	7.5999	7.8195	7.9020	6.1362	5.7827	7.7082	7.7082	6.8425	bifunctional lysylphosphatidylglycerol synthetase/lysine--tRNA ligase LysX
MMAR_RS12205	infC	9.8984	10.5004	9.9521	8.8989	8.2079	9.4587	11.1079	11.1079	9.9188	translation initiation factor IF-3
MMAR_RS12210	rpmI	8.6052	8.5962	9.4002	7.9020	7.7074	8.3457	9.7030	9.7030	8.1568	50S ribosomal protein L35
MMAR_RS12215	rplT	8.7304	9.1799	9.0789	8.0712	8.2079	7.3501	8.8419	8.8419	7.4232	50S ribosomal protein L20
MMAR_RS12220	MMAR_RS12220	7.4721	0.0000	6.5072	7.2275	6.4540	5.7827	7.7082	7.7082	7.8362	TrmH family RNA methyltransferase
MMAR_RS12225	MMAR_RS12225	7.7338	5.6221	5.5229	7.9020	6.9348	0.0000	5.4136	5.4136	0.0000	oxygenase MpaB family protein
MMAR_RS12230	MMAR_RS12230	9.2319	9.4020	9.8851	8.7067	8.8735	9.2181	9.0824	9.0824	9.4169	PE family protein
MMAR_RS12235	MMAR_RS12235	7.4721	9.0546	8.0815	4.9436	7.1259	8.3457	8.3836	8.3836	7.8362	adenylate/guanylate cyclase domain-containing protein
MMAR_RS12240	MMAR_RS12240	6.7406	7.1874	7.4992	7.4889	4.1965	8.5674	8.5531	8.5531	7.4232	rhomboid-like protein
MMAR_RS12245	pheS	8.3165	8.4041	8.0815	8.2227	6.1362	6.7695	8.5531	8.5531	7.4232	phenylalanine--tRNA ligase subunit alpha
MMAR_RS12250	pheT	9.0516	7.9204	8.9536	7.4889	7.8224	6.7695	9.4688	9.4688	8.1568	phenylalanine--tRNA ligase subunit beta
MMAR_RS12255	MMAR_RS12255	7.1522	0.0000	5.5229	6.4969	0.0000	0.0000	5.4136	5.4136	5.8550	PE family protein
MMAR_RS12260	MMAR_RS12260	8.4680	8.1824	7.8195	4.9436	6.9348	5.7827	6.3965	6.3965	8.4190	PE family protein
